zipcode,lat,lon,population,land,density
1841,42.70979,-71.164402,47225,8.000473272,5902.775798
2108,42.353806,-71.102446,3825,0.354828371,10779.85954
2109,42.360027,-71.054495,3771,0.450657931,8367.765747
2110,42.352847,-71.051466,1733,0.476557812,3636.494787
2111,42.351047,-71.059365,7383,0.69929679,10557.74903
2113,42.365398,-71.055001,6915,0.258998811,26698.96427
2114,42.362097,-71.023661,11999,1.16549465,10295.19956
2115,42.342043,-71.096848,28441,1.83630157,15488.19675
2116,42.347207,-71.086095,20628,1.634282497,12622.05282
2118,42.336162,-71.072854,26498,2.838626969,9334.794707
2119,42.323077,-71.084608,25346,4.138801,6123.995815
2120,42.332484,-71.096416,15181,1.608382616,9438.674508
2121,42.307098,-71.081645,25978,4.519529252,5747.943768
2122,42.29658,-71.055215,23479,5.270625804,4454.689229
2124,42.286784,-71.071045,47783,7.777734294,6143.562918
2125,42.31476,-71.067244,33295,5.521854651,6029.677003
2126,42.301247,-71.105195,25562,5.392355245,4740.414687
2127,42.329023,-71.020343,31799,5.239545947,6069.037341
2128,42.364197,-71.025694,40508,12.56403232,3224.124148
2129,42.382588,-71.065287,16439,3.501663925,4694.625285
2130,42.309661,-71.121097,35401,8.635020359,4099.700815
2131,42.284197,-71.120896,29826,6.713249181,4442.856089
2132,42.277897,-71.155833,25861,11.81293577,2189.210244
2134,42.357169,-71.112646,21503,3.434324234,6261.202652
2135,42.349768,-71.104888,42780,6.82461867,6268.482104
2136,42.254248,-71.129321,28488,11.88804542,2396.356927
2138,42.380442,-71.132947,36314,7.096567421,5117.12182
2139,42.365146,-71.101842,36349,4.035201475,9007.976484
2140,42.393246,-71.133833,17607,2.988846279,5890.901825
2141,42.368673,-71.083596,11910,1.662772367,7162.736307
2142,42.36284,-71.084814,3141,0.720016695,4362.398849
2143,42.38092,-71.098896,24514,3.996351654,6134.094825
2144,42.402696,-71.12022,23891,2.802367135,8525.292672
2145,42.391046,-71.095146,25439,3.615623402,7035.85445
2148,42.436545,-71.085396,59503,13.06649001,4553.862585
2149,42.407396,-71.051183,41550,8.873299265,4682.587475
2150,42.378197,-71.038894,35124,5.718693747,6141.962055
2151,42.366303,-71.020494,51808,15.1825103,3412.34743
2152,42.378447,-70.981679,17497,5.107456553,3425.775593
2163,42.32532,-71.112159,2582,0.256408823,10069.8563
2171,42.284898,-71.014243,17711,6.350650846,2788.848014
2199,42.347247,-71.082395,1146,0.147629322,7762.685504
2210,42.347547,-71.040645,2090,2.499338526,836.2212554
2215,42.345079,-71.107653,26125,1.981340904,13185.51489
2445,42.318097,-71.143697,20679,6.74173905,3067.309465
2467,42.357564,-71.211649,22491,12.61842207,1782.394017
