zipcode,lat,lon,population,land,density
60007,42.020278,-87.905866,33820,36.47221257,927.2812813
60018,42.015479,-87.868714,30099,42.3463056,710.782194
60106,41.839679,-88.088716,20309,23.21924341,874.662436
60131,41.93598,-87.884962,18097,14.36925403,1259.425156
60176,41.95918,-87.873412,11795,6.860878503,1719.167596
60601,41.811929,-87.68732,11110,0.99973541,11112.94037
60601,41.811929,-87.68732,11110,0.99973541,11112.94037
60602,41.811929,-87.68732,1204,0.225328966,5343.298838
60603,42.055179,-87.72596,493,0.375548276,1312.747339
60604,41.811929,-87.68732,570,0.240868894,2366.432585
60605,41.811929,-87.68732,24668,3.224535197,7650.094818
60606,41.811929,-87.68732,2308,0.660446968,3494.603067
60607,41.928881,-87.81381,23897,6.008772415,3977.018657
60608,41.811929,-87.68732,82739,16.44901449,5030.027791
60609,41.811929,-87.68732,64906,20.09312776,3230.258663
60610,41.811929,-87.68732,37726,3.038056053,12417.80907
60611,41.811929,-87.68732,28718,2.136740191,13440.09914
60612,41.811929,-87.68732,33472,9.704685448,3449.055632
60613,41.811929,-87.68732,48281,5.633224139,8570.757848
60614,41.811929,-87.68732,66617,8.199902356,8124.12113
60615,41.811929,-87.68732,40603,5.729053699,7087.208836
60616,41.811929,-87.68732,48433,10.48945185,4617.305147
60617,41.811929,-87.68732,84155,35.92572507,2342.471859
60618,41.811929,-87.68732,92084,13.10792982,7025.060496
60619,41.811929,-87.68732,63825,15.59431841,4092.836783
60620,41.811929,-87.68732,72216,18.35006576,3935.462736
60621,41.811929,-87.68732,35912,9.655475674,3719.340322
60622,41.811929,-87.68732,52548,6.35842081,8264.316183
60623,41.811929,-87.68732,92108,13.87197632,6639.861394
60624,41.811929,-87.68732,38105,9.155607969,4161.930057
60625,41.811929,-87.68732,78651,10.09318366,7792.486753
60626,41.811929,-87.68732,50139,4.415929728,11354.1209
60628,41.811929,-87.68732,72202,28.28267016,2552.870701
60629,41.811929,-87.68732,113916,17.61709912,6466.217803
60630,41.811929,-87.68732,54093,12.36460324,4374.826993
60631,42.00583,-87.808611,28641,9.634755769,2972.675248
60632,41.811929,-87.68732,91326,19.25138162,4743.867313
60633,41.811929,-87.68732,12927,26.56291806,486.6558701
60634,41.933355,-87.816309,74298,18.42258543,4032.98442
60636,41.811929,-87.68732,40916,10.13203349,4038.281166
60637,41.811929,-87.68732,49503,11.67307641,4240.78437
60638,41.811929,-87.68732,55026,28.76440795,1912.989139
60639,41.811929,-87.68732,90407,12.633962,7155.870818
60640,41.811929,-87.68732,65790,6.236691369,10548.86255
60641,41.811929,-87.68732,71663,10.46873194,6845.432704
60642,41.902042,-87.658544,18480,4.405569775,4194.690118
60643,41.811929,-87.68732,49952,19.02864264,2625.095281
60644,41.811929,-87.68732,48648,9.075318337,5360.47312
60645,42.00808,-87.721458,45274,5.848193152,7741.536372
60646,42.00663,-87.75901,27177,11.84142564,2295.078382
60647,41.811929,-87.68732,87291,10.48427187,8325.90008
60649,41.811929,-87.68732,46650,7.583485186,6151.52517
60651,41.811929,-87.68732,64267,9.052008444,7099.750337
60652,41.811929,-87.68732,40959,12.98879037,3153.411428
60653,41.811929,-87.68732,29908,6.042442261,4949.654247
60654,41.811929,-87.68732,14875,1.574712771,9446.16712
60655,41.811929,-87.68732,28550,11.40889762,2502.432833
60656,41.97353,-87.865763,27613,8.466671132,3261.376233
60657,41.811929,-87.68732,65996,5.887042974,11210.3819
60659,41.997247,-87.716621,38104,5.249905899,7258.034855
60660,41.811929,-87.68732,42752,3.304824828,12936.23784
60661,41.811929,-87.68732,7792,0.769226469,10129.65663
60706,41.811929,-87.68732,23134,7.661184829,3019.637369
60707,41.923181,-87.818509,42920,9.344677101,4592.989093
60803,41.811929,-87.68732,22285,19.56736017,1138.88638
60804,41.811929,-87.68732,84573,19.84966888,4260.675608
60827,41.811929,-87.68732,27946,18.1661766,1538.353425
