from,to,routes,length,road_length,travel_time
1,12763,108|265|358,0.42928538894509843,0.5336000000000001,1.0
1,4296,265,1.03347902759199,1.0344000000000002,1.5
100,11716,30|330,0.6673486380198393,0.6906,1.0
100,13905,30|330,0.36566443636057605,1.1297000000000001,2.0
100,140911,14,0.39437090394487007,0.8250000000000001,1.33333333333
100,9028,14,0.33669564948276454,1.1153,2.0
10000,10053,256,0.16328970028419798,0.1861,0.0
10000,13000088,256,0.1510176429897133,0.1514,0.25
10000002,13000027,130,0.4256406273988586,0.4325,1.0
10000002,13000028,130,0.3711788555528554,0.3712,1.0
10001,10002,201,0.22886276470935238,0.2386,0.11412407621888467
10001,1467,201,0.17228092022998123,0.1723,0.0859091294136696
10002,1466,201,0.34191748147775713,0.35150000000000003,0.17049963005686816
10003,142165,201,0.3538305615221464,0.356,0.1764401737565572
10003,1466,201,0.16152986540836797,0.1657,0.08054803801265735
10033,10034,110,0.25431028020641266,0.2543,0.0
10033,10035,110,0.41469035742185006,0.4147,1.33333333333
10034,10033,110,0.25431028020641266,0.2543,0.5
10034,11130,110,0.29702569959073155,0.3025,1.0
10035,10033,110,0.41469035742185006,0.4147,2.0
10035,1494,110,0.19497100389454092,0.1951,0.333333333333
10036,10037,110,0.3712069970051458,0.5894,1.0
10036,617,110,0.2186252393891454,0.2302,0.5
10037,10036,110,0.3712069970051458,0.5894,1.5
10037,1494,110,0.1884908544008454,0.1997,0.5
10043,10050,120|48,0.3922935280154158,0.39930000000000004,1.25
10043,10051,53,0.5926669018398785,0.593,1.8
10043,140756,120,0.31123150868862787,0.3113,0.5
10043,1731,351|53,0.34176341278301686,0.3526,1.0
10043,19124,51|52,0.16729711873213896,0.17300000000000001,0.35
10043,294,51|52,0.1900267055886523,0.2015,0.458333333333
10049,10051,120,0.40290221603798154,0.4303,1.5
10050,10043,120,0.3922935280154158,0.44910000000000005,1.0
10050,13867,48,0.3314590182813954,0.3315,1.0
10050,140793,120,0.4341275074987216,0.4363,1.0
10051,10043,53,0.5926669018398785,0.6515,1.5
10051,140756,120,0.2814718056897842,0.2817,0.5
10051,140784,53,0.4461790289004411,0.5069,1.2
10051,3703,120,0.490711845397309,0.5134,1.0
10053,10000,256,0.16328970028419798,0.1861,0.25
10053,10055,256,0.21276375122460078,0.2505,1.0
10054,11190,102,0.347526556174227,0.3477,1.0
10054,13276,102,0.11519167413696121,0.129,0.25
10055,10057,256,0.1987867907925163,0.2047,0.0
10055,670,68,0.18317639944613057,0.18317639944613057,0.75
10056,11190,102,0.22172570603463518,0.22269999999999998,0.5
10056,1515,102,0.20443619665400378,0.2179,0.25
10057,10059,256,0.24075299422208282,0.24080000000000001,0.5
10057,11222,256,0.1687060475949579,0.2033,0.0
10059,10057,256,0.24075299422208282,0.24080000000000001,0.0
10059,10061,256,0.35375868227509777,0.3755,1.0
10061,10059,256,0.35375868227509777,0.3755,1.0
10061,10092,256,0.4665773701567158,0.5367000000000001,0.0
10069,10071,378|78|487,0.22618398456015937,0.22680000000000003,0.444444444444
10069,10073,378|78|487,0.32707772639223737,0.32980000000000004,0.555555555556
10070,10074,378|78,0.372932929858697,0.373,1.0
10070,10076,378|78,0.32641836524580814,0.3769,0.5
10071,10069,378|78|487,0.22618398456015937,0.22680000000000003,0.5
10071,10075,487,0.26333418788741164,0.2695,0.5
10071,1535,378|78,0.2277940510730896,0.2277940510730896,0.666666666667
10072,10075,378|78,0.21261612074901265,0.2532,0.333333333333
10072,10076,378|78,0.3273635808063471,0.3407,0.333333333333
10073,10069,378|78|487,0.32707772639223737,0.32980000000000004,0.5
10073,16068,378|78|487,0.2861652792543067,0.2869,0.277777777778
10074,10070,378|78,0.372932929858697,0.862,1.0
10074,11341,378|78,0.3492609402376606,0.3501,1.0
10075,10071,378|78|487,0.26333418788741164,0.2695,0.75
10075,12367,487,0.27131034802971515,0.27131034802971515,0.0
10076,10070,378|78,0.32641836524580814,0.3314,0.666666666667
10076,10072,378|78,0.3273635808063471,0.5776,0.333333333333
10080,10081,78,0.2501589235465855,0.2502,0.0
10080,5301,378|78,0.27439389438354844,0.32110000000000005,0.0
10081,10080,378|78,0.2501589235465855,0.2502,0.25
10081,10086,78,0.3274748232299621,0.5025000000000001,0.5
10082,18022,78,0.31706061174536876,0.43,1.0
10083,10080,78,0.35865397379111463,0.35865397379111463,1.0
10084,10082,78,0.21900208890306105,0.2265,0.0
