zipcode,lat,lon,population,land,density
90001,33.973951,-118.248405,57110,9.070138361,6296.486087
90002,33.950514,-118.245855,51223,7.930543593,6458.95195
90003,33.949164,-118.273156,66266,9.197047779,7205.13817
90004,33.786594,-118.298662,62180,7.894283759,7876.585374
90011,33.989264,-118.250056,103892,11.10068904,9359.05867
90022,33.896564,-118.176502,67179,11.3493279,5919.205137
90023,34.008262,-118.196055,45903,10.94010978,4195.844552
90028,34.014613,-118.225606,28714,3.94714188,7274.630828
90040,33.990863,-118.153153,12520,14.45472364,866.1528446
90044,33.938108,-118.285706,89779,13.30476892,6747.881195
90058,33.999433,-118.213255,3223,15.04006095,214.2943443
90059,33.921065,-118.244955,40952,8.580630608,4772.609598
90061,33.920965,-118.275356,26872,6.894548349,3897.572203
90201,33.976663,-118.168903,101279,15.37675941,6586.498319
90220,33.874815,-118.240208,49328,17.89940783,2755.845359
90221,33.879565,-118.21681,53704,13.8098166,3888.827893
90222,33.909915,-118.235654,31869,6.622599597,4812.158659
90240,33.946363,-118.119461,25876,7.624924996,3393.607152
90241,33.939164,-118.125851,42399,12.75569144,3323.928005
90242,33.922714,-118.139969,43497,11.78703589,3690.240737
90247,33.888315,-118.295256,47487,9.722815365,4884.07917
90248,33.877165,-118.269605,9947,12.15740419,818.1845274
90249,33.858866,-118.299106,26669,7.712984592,3457.675778
90255,33.977987,-118.213137,75066,9.629575793,7795.358966
90262,33.924538,-118.202954,69745,12.51741254,5571.838413
90270,33.988463,-118.187376,27372,3.268564995,8374.317183
90278,33.987613,-118.179754,40071,9.33172716,4294.060393
90280,33.937714,-118.193403,94396,18.91986314,4989.253848
90501,33.835665,-118.303805,43180,14.56609313,2964.418778
90502,33.833816,-118.293405,18010,5.788623426,3111.275112
90601,34.004311,-118.0441,31974,29.38859508,1087.973069
90602,33.971839,-118.036578,25777,9.611445876,2681.906586
90603,33.947372,-117.995297,20063,8.466671132,2369.64442
90604,33.932663,-118.009085,39407,11.03593934,3570.788022
90605,33.944312,-118.017424,40331,14.6386128,2755.110785
90606,33.967162,-118.036999,32396,9.79792502,3306.414362
90620,33.640302,-117.769442,45113,16.56297396,2723.72583
90638,33.900863,-118.007297,49012,20.38061644,2404.834032
90650,33.906763,-118.076549,105549,25.40778336,4154.199464
90660,33.985812,-118.088787,62928,20.07240785,3135.049889
90670,33.927063,-118.063698,14866,21.91647939,678.3023741
90701,33.865395,-118.073148,16591,4.221680619,3929.95148
90703,33.866914,-118.068648,49399,22.73232564,2173.072865
90706,33.888014,-118.12965,76615,15.81964738,4843.028304
90710,33.791267,-118.251554,25457,6.109781951,4166.597139
90712,33.845624,-118.14645,31499,11.11104899,2834.925849
90713,33.850465,-118.109399,27925,8.790419645,3176.753912
90715,33.840565,-118.078748,20388,4.402979787,4630.500476
90716,33.830967,-118.072796,14184,2.41127893,5882.35555
90723,33.899015,-118.165152,54099,12.1340943,4458.429173
90731,33.753088,-118.253053,59662,23.84602053,2501.968827
90744,33.779417,-118.253853,53815,21.59014088,2492.572896
90745,33.813317,-118.261154,57251,21.49690131,2663.221046
90746,33.859716,-118.255204,25990,15.10740065,1720.348895
90755,33.803431,-118.16977,11074,5.643584092,1962.228226
90802,33.756024,-118.201101,39347,16.79089292,2343.353638
90803,33.759885,-118.13016,32031,10.35995244,3091.80956
90804,33.785666,-118.135699,40311,5.475234865,7362.423895
90805,33.838815,-118.1576,93524,19.08562238,4900.233177
90806,33.795016,-118.172801,42399,8.914739075,4756.056195
90807,33.831466,-118.181102,31481,15.12035059,2082.028444
90808,33.800266,-118.106132,38232,17.77767839,2150.562023
90810,33.819266,-118.232453,36735,17.34256038,2118.199342
90813,33.780017,-118.183701,58911,8.311271845,7088.084844
90814,33.771301,-118.142654,19131,3.509433889,5451.306565
90815,33.793516,-118.114612,39733,18.44071534,2154.63442
90822,33.792666,-118.1638,117,0.419578074,278.851559
91008,34.153159,-117.968818,1391,5.242135935,265.3498531
91320,34.175921,-118.905874,44274,47.269873,936.6219369
91360,34.213403,-118.800204,42402,37.6195773,1127.125902
91361,34.141783,-118.847732,20438,86.77237165,235.5358003
91362,34.194756,-118.823177,36045,50.81556672,709.3298831
91377,34.032383,-119.1343,13811,13.71139705,1007.264245
91387,34.402509,-118.363427,40328,128.2691611,314.40137
91390,34.545587,-118.420095,19786,370.6790983,53.37770619
