type,lat,lon,name
shopping,34.0311187,-118.8423135,Trancas Market Shopping Center
shopping,34.1722274,-118.5584185,Capri Plaza Shopping Center
shopping,34.1616723,-118.5117504,Courtyard Shops Of Encino Shopping Center
shopping,34.1605612,-118.5106392,Encino Oaks Shopping Center
shopping,34.1602834,-118.5086948,Encino Town Center Shopping Center
shopping,34.189727,-118.6256429,Fallbrook Mall Shopping Center
shopping,34.189727,-118.6261985,Fallbrook Mall Shopping Center
shopping,34.2019489,-118.5720307,Independence Square Shopping Center
shopping,34.1875048,-118.5553632,Loehmanns Plaza Shopping Center
shopping,34.2375035,-118.554531,Northridge Fashion Center Shopping Center
shopping,34.2419478,-118.5586979,Northridge Pavilion Shopping Center
shopping,34.2288927,-118.5606421,Northridge Plaza Shopping Center
shopping,33.7694611,-118.3670172,Town And Country Shopping Center
shopping,33.8361268,-118.3542402,Village Del Amo Shopping Center
shopping,34.2005601,-118.5720306,Sherman Plaza Shopping Center
shopping,34.1805606,-118.604531,The Promenade At Woodland Hills Shopping Center
shopping,34.1905604,-118.6039757,Topanga Plaza Shopping Center
shopping,34.2347258,-118.5528642,Walnut Grove Shopping Center
shopping,34.169172,-118.6048086,Warner Plaza Shopping Center
shopping,34.1672275,-118.5889748,Woodland Hills Village Plaza Shopping Center
shopping,34.1527831,-118.7587012,Agoura Meadows Shopping Center
shopping,34.1561166,-118.643976,Parkway Calabasas Shopping Center
shopping,34.1883381,-118.6414766,Platt Village Shopping Center
shopping,34.1438944,-118.7550897,Whizins Mall Shopping Center
shopping,34.0166791,-118.3345203,Crenshaw Square Shopping Center
shopping,34.1813944,-118.3945246,Laurel Plaza Shopping Center
shopping,34.013068,-118.3403537,Santa Barbara Plaza Shopping Center
shopping,34.0702877,-118.3600774,Town And Country Shopping Center
shopping,34.1583391,-118.4939721,Rubio Plaza Shopping Center
shopping,34.1569505,-118.4367478,Sherman Oaks Fashion Square Shopping Center
shopping,34.1552838,-118.4673044,Sherman Oaks Galleria Shopping Center
shopping,34.1525062,-118.4475815,Sherman Oaks Square Shopping Center
shopping,34.1513951,-118.4473037,Sherman Oaks Town Center Shopping Center
shopping,34.223615,-118.4492496,Panorama Mall Shopping Center
shopping,34.2344479,-118.4492498,Vannord Center Shopping Center
shopping,34.1872274,-118.4170255,Victory Plaza Shopping Center
shopping,34.1430625,-118.393135,Studio City Plaza Shopping Center
shopping,34.2222262,-118.397581,Canyon Plaza Shopping Center
shopping,33.7936279,-118.3331281,Airport Plaza Shopping Center
shopping,33.7897389,-118.3406281,Country Hills Shopping Center
shopping,33.8716822,-118.3256291,Crenshaw Shopping Center
shopping,33.8397373,-118.3903521,The Pier Shopping Center
shopping,33.7747222,-118.3769444,Peninsula Shopping Center
shopping,33.8672222,-118.3536111,Galleria Shopping Center
shopping,34.0897222,-118.3447222,West Hollywood Gateway Shopping Center
shopping,34.0663889,-118.3830556,Wilshire-Robertson Plaza Shopping Center
shopping,33.8861111,-118.4086111,Metlox Plaza Shopping Center
shopping,34.256114,-118.5375864,Northridge Shopping Center
shopping,33.8039055,-118.3286837,Crossroads Shopping Center
shopping,34.040288,-118.4261899,Westside Pavilion Shopping Center
shopping,34.2077821,-118.5089737,Saticoy Plaza Shopping Center
shopping,34.1688943,-118.5350846,Tarzana Square Shopping Center
shopping,34.0702877,-118.3584106,Parklabrea Shopping Center
shopping,34.0902871,-118.3489662,Movietown Plaza Shopping Center
shopping,33.7469619,-118.114787,Seaside Village
shopping,33.7602958,-118.1909014,Shoreline Village
shopping,33.9272378,-118.2384055,Kenneth Hahn Plaza Shopping Center
shopping,33.85946,-118.1178446,Lakewood Marketplace Shopping Center
shopping,33.9644592,-118.2242389,South Gate Plaza Shopping Center
shopping,33.7569617,-118.108398,The Market Place Shopping Center
shopping,33.9297367,-118.324241,Crenshaw Imperial Plaza Shopping Center
shopping,33.8889044,-118.3053511,Pacific Square Shopping Center
shopping,33.8916823,-118.2975733,Gardena Valley Shopping Center
shopping,33.9352921,-118.1195127,Stonewood Shopping Center
shopping,33.8894598,-118.3084068,Tozai Shopping Center
shopping,33.9605685,-118.0311769,The Quad At Whittier Shopping Center
shopping,33.915847,-118.0303425,Mirada West Shopping Center
shopping,33.8505715,-118.1406231,Lakewood Center Mall Shopping Center
shopping,33.8486271,-118.1431231,Lakewood Square Shopping Center
shopping,33.8883478,-118.0653432,Alondra Shopping Center
shopping,33.8652929,-118.0828434,Artesia Town Center Shopping Center
shopping,33.8664041,-118.0953439,Best Plaza Shopping Center
shopping,33.857793,-118.0814544,Lincoln Station Shopping Center
shopping,33.8741817,-118.0814547,Pioneer Artesia Shopping Center
shopping,33.8600149,-118.047842,Cerritos Plaza Shopping Center
shopping,33.8575153,-118.0917325,Cerritos South Town And Country Shopping Center
shopping,33.8622376,-118.1014552,Cerritos Auto Square
shopping,33.8341827,-118.1156218,Carwood Shopping Center
shopping,33.7508512,-118.3078492,Park Plaza Shopping Center
shopping,33.8436281,-118.261183,South Bay Pavilion At Carson Shopping Center
shopping,33.755851,-118.3114605,Terrace At South Bay Shopping Center
