tag,api,stops_count,wait_time_mean,wait_time_std
4,lametro,210,16.9015151515,6.84709609813
10,lametro,144,42.6366906475,10.5329742183
14,lametro,125,34.9159292035,2.2215782627
16,lametro,137,23.9606060606,11.908042594
18,lametro,156,14.5766666667,7.06664386789
20,lametro,193,19.1962457338,1.41205907106
28,lametro,234,33.4258675079,6.73156036923
30,lametro,148,33.2466666667,9.50995034454
33,lametro,184,24.1707317073,7.46958492305
35,lametro,91,40.0,0.838273644285
37,lametro,78,35.4504504505,0.887741731969
38,lametro,98,39.3863636364,1.02726267091
40,lametro,207,35.1025641026,8.58702597653
45,lametro,197,26.7894736842,4.93372512232
48,lametro,117,36.0763358779,1.85595110742
51,lametro,202,22.1587057011,7.94556337647
52,lametro,197,25.2011173184,5.59799766836
53,lametro,164,31.8130081301,9.82338584091
55,lametro,168,22.2450592885,2.67310298005
60,lametro,220,12.6549079755,4.03385867242
62,lametro,178,53.0268456376,3.72898371949
66,lametro,142,19.6566037736,2.5703321446
68,lametro,98,22.1567398119,7.55920477511
70,lametro,162,14.2827586207,3.62881846122
71,lametro,81,59.4666666667,1.99555060628
76,lametro,166,19.6283048212,2.23855820776
78,lametro,183,36.0833333333,3.46864773277
79,lametro,144,36.4834710744,2.07347861611
81,lametro,203,23.4046052632,11.197425919
83,lametro,135,44.9842519685,10.7234265971
91,lametro,198,62.2837837838,0.450833170746
92,lametro,158,39.1631799163,3.04680090355
94,lametro,198,42.3211382114,5.44657350378
96,lametro,113,52.4678899083,6.77091568528
102,lametro,192,61.7884615385,1.49790287327
105,lametro,163,18.6979865772,2.74828732021
108,lametro,232,36.7993527508,20.3167123859
110,lametro,206,37.5843137255,10.5380612227
111,lametro,185,23.9212827988,10.537849958
115,lametro,213,41.9894736842,2.78811287562
117,lametro,164,28.687664042,6.13749545408
120,lametro,221,56.7791411043,10.3615763421
125,lametro,163,43.1220930233,14.6288254879
130,lametro,168,58.1504424779,2.62803550217
150,lametro,167,35.2119205298,1.14283991291
152,lametro,192,30.5724299065,2.00976278003
155,lametro,115,60.7647058824,0.876450848574
158,lametro,152,51.8723404255,0.806455020267
161,lametro,137,58.393442623,2.44465753091
162,lametro,141,57.2736842105,2.26386769775
163,lametro,137,58.8681318681,0.867087979981
164,lametro,193,35.504398827,2.49999613006
165,lametro,189,39.821969697,2.54997963135
166,lametro,129,39.3684210526,1.21873646026
167,lametro,186,46.5735294118,2.31565120094
180,lametro,188,36.1377245509,7.14345407626
181,lametro,188,36.8953068592,12.8141342172
183,lametro,207,65.025,1.83694719576
200,lametro,77,13.9078947368,4.27870378668
201,lametro,124,59.5846153846,2.65383500555
204,lametro,137,18.3539325843,4.72821373608
205,lametro,234,55.0927835052,2.70959529913
206,lametro,149,24.3341232227,8.07017336647
207,lametro,129,22.7425742574,2.87840531121
210,lametro,177,34.7016393443,10.1922260926
212,lametro,148,24.7879518072,5.80430661862
217,lametro,141,21.5676691729,6.1836803027
218,lametro,55,46.8474576271,0.819540162965
222,lametro,144,59.0,0.820922069065
224,lametro,145,29.50625,1.69557097684
230,lametro,124,33.9243243243,1.67160796603
232,lametro,184,41.9827586207,20.4285899891
233,lametro,128,38.6684491979,1.77541717666
234,lametro,164,29.9335180055,1.12440126528
236,lametro,111,69.1333333333,2.70472837001
237,lametro,192,50.36,0.8777243303
240,lametro,156,34.768115942,1.16898230899
245,lametro,68,60.6808510638,0.90168596172
251,lametro,161,35.0281690141,16.749442004
252,lametro,88,38.7115384615,0.977369673813
256,lametro,235,58.0858585859,0.789899635743
264,lametro,124,39.6993464052,19.8951779119
265,lametro,124,57.7727272727,1.42802527931
266,lametro,163,40.0653061224,2.07704175627
267,lametro,173,44.1016949153,15.2445543656
268,lametro,176,54.5144927536,0.499789915957
292,lametro,110,40.4451612903,2.03245262766
344,lametro,90,56.0,0.0
460,lametro,135,31.8362573099,10.8550834844
487,lametro,210,48.3272727273,2.51218518031
501,lametro,22,43.7692307692,1.80400606147
550,lametro,83,58.2380952381,1.93722339112
603,lametro,132,16.859922179,5.08792619739
605,lametro,56,31.0793650794,2.16978959774
611,lametro,151,57.6226415094,7.07433953206
612,lametro,140,57.7052631579,2.65913988552
665,lametro,75,58.1315789474,2.60738881916
686,lametro,69,60.3529411765,0.870508740409
687,lametro,71,59.6833333333,0.465176191232
704,lametro,73,23.0,8.42927230424
720,lametro,83,24.0615942029,8.24751892832
733,lametro,72,18.9754385965,3.00574191453
744,lametro,72,29.9056603774,1.4375575584
745,lametro,41,28.4901960784,2.62247113683
754,lametro,47,19.7707006369,8.07439344133
901,lametro,40,20.2251655629,0.914722738222
910,lametro,40,35.75,11.998697846
950,lametro,65,29.4012345679,1.67943213706
