tag,title,lat,lon,merged
1,Paramount / Slauson,33.973137425000004,-118.112979975,1|4299_ar|4299|12766
10,120th / York,33.9237999,-118.34458,10
100,Beverly / San Vicente,34.0767299,-118.3794987375,12377|137|8991|100
10000,Eastern / 1st,34.03705495,-118.17345,10000|13000087|18|8612
10000002,Artesia / Downey,33.874719999999996,-118.1510149,13000046|10000002
10001,Glenoaks / Sleepy Hollow,34.14996995,-118.21240495,142167|10001
10002,Glenoaks / Tryon,34.1497699,-118.21488,10002
10003,Glenoaks / Waltonia,34.151034949999996,-118.22011495,1469|10003
10012,Greenleaf / Alameda,33.8811499,-118.2182499,10012
10033,Hyde Park / Gay,33.979124999999996,-118.34057490000001,1495|10033
10034,Hyde Park / Long,33.980174950000006,-118.33812495000001,1496|10034
10035,Hyde Park / Park,33.977405,-118.3445649,1497|10035
10036,Hyde Park / Field,33.97593495,-118.35236495,10036|1498
10037,Hyde Park / Hyde Park,33.975970000000004,-118.3483399,10037|2593
10043,Imperial / Avalon,33.931028028125,-118.265258071875,8871|10043|283|284|1503|10044
10047,Imperial / Douglas,33.931,-118.3834499,10047
10048,Imperial / Nash,33.9310399,-118.3877399,10048
10049,Imperial / Central,33.9295999,-118.2548,10049
10050,Imperial / San Pedro,33.931194899999994,-118.26950500000001,5501|10050
10051,Imperial / Wadsworth,33.930984949999996,-118.25883495,10052|10051
10053,Eastern / Michigan,34.03851995,-118.17356995,11327|10053
10054,Jefferson / Main,34.01866495,-118.27265495,1514|10054
10055,Eastern / Cesar E Chavez,34.040424900000005,-118.173355,10055|397
10056,Jefferson / Trinity,34.0162049,-118.26723989999999,1516|10056
10057,Eastern / Hammel,34.04219995,-118.1736099,10057|11325
10059,Eastern / Floral,34.044364900000005,-118.17360995,11311|10059
10061,Eastern / Marianna,34.04729495,-118.17510494999999,11302|10061
10069,Las Tunas / Country Club,34.103189900000004,-118.096145,1529|10069
10070,Las Tunas / Burton,34.10345495,-118.081455,1530|10070
10071,Las Tunas / California,34.103384899999995,-118.09369995,10071|1531
10072,Las Tunas / Charlotte,34.103415,-118.08855489999999,10072|1532
10073,Las Tunas / Del Mar,34.102795,-118.0996649,10073|1533
10074,Las Tunas / Muscatel,34.103474899999995,-118.077405,1534|10074
10075,Las Tunas / San Gabriel,34.10360495,-118.0908525,3891|10075|12368
10076,Las Tunas / Willard,34.103445,-118.0849999,10076|1536
10080,Live Oak / 10th,34.1099899,-118.012155,1540|10080
10081,Live Oak / Foss,34.10961995,-118.01483495,10081|1541
10082,Live Oak / Greenfield,34.108,-118.0269599,10082
10083,Live Oak / Lynd,34.11068,-118.0083499,10083
10084,Live Oak / 2nd,34.10820995,-118.02459495,2993|10084
