tag,api,stops_count,wait_time_mean,wait_time_std
741,mbta,15,16.0508474576,6.61642468052
742,mbta,20,15.3125,0.681794507165
751,mbta,23,33.9772727273,3.00369950957
749,mbta,24,15.2395833333,2.3837330303
1,mbta,54,10.6805555556,4.93145531696
8,mbta,100,39.2773722628,7.14064129182
9,mbta,95,25.1882352941,2.96843836008
10,mbta,102,59.5294117647,2.03260618155
11,mbta,71,48.9411764706,0.889189203402
15,mbta,164,20.0155642023,5.17323918546
16,mbta,86,50.7,0.754983443527
21,mbta,42,70.5882352941,1.03234875146
22,mbta,72,20.1914893617,1.30201640465
23,mbta,66,25.6011904762,5.67800673542
2427,mbta,94,58.3731343284,1.27941008906
28,mbta,80,32.5,18.6392009303
29,mbta,73,34.2313432836,2.94961211491
30,mbta,57,40.3780487805,2.45764235576
31,mbta,32,22.0925925926,9.20903042815
32,mbta,103,19.9846153846,1.50376253948
34,mbta,88,48.7796610169,4.52888206586
34E,mbta,210,72.512195122,4.61240084153
36,mbta,106,29.1696428571,1.77224833422
39,mbta,100,13.1737089202,10.2738495626
42,mbta,39,30.3956043956,0.626855415251
43,mbta,37,36.803030303,2.84562235281
44,mbta,58,29.9621212121,1.15079223719
45,mbta,82,28.1654135338,2.50467367985
47,mbta,74,43.402173913,2.43194224853
57,mbta,97,55.975,4.19218022036
64,mbta,84,53.2033898305,0.878744501479
66,mbta,82,20.9571984436,4.49579534775
69,mbta,36,40.1739130435,3.23905748386
70,mbta,126,36.1450381679,2.94510108797
71,mbta,50,21.5259259259,3.93244741366
73,mbta,53,22.8235294118,8.75113155596
74,mbta,61,40.6705882353,2.28750177265
77,mbta,69,13.0547445255,3.85985270327
78,mbta,113,60.8108108108,1.14697811751
80,mbta,86,60.0307692308,2.2255110443
86,mbta,88,36.8642857143,3.98427393329
87,mbta,75,31.3111111111,2.66240400047
88,mbta,59,29.962962963,0.522209088356
89,mbta,73,60.7307692308,1.3172725992
91,mbta,43,54.1875,6.41500925564
93,mbta,53,60.5714285714,2.15077900774
94,mbta,74,45.2941176471,7.29032159286
95,mbta,96,54.6037735849,1.83611179256
96,mbta,61,56.7,3.2939338184
99,mbta,87,62.4259259259,2.98515991167
100,mbta,39,59.34375,0.642717618788
101,mbta,126,61.4375,1.23585749583
104,mbta,64,56.3333333333,1.32811478754
106,mbta,117,59.18,2.7762564723
108,mbta,88,59.75,2.52735039122
109,mbta,68,65.5,0.80622577483
110,mbta,75,52.5967741935,3.5761741921
111,mbta,75,29.3726708075,11.5181843137
116,mbta,70,33.9923664122,9.80457611122
117,mbta,71,33.6761904762,10.8719781685
120,mbta,68,18.8310810811,26.3770448198
134,mbta,155,61.7058823529,1.01545155892
201,mbta,62,32.7777777778,3.97290203973
214216,mbta,86,59.2962962963,1.1049210289
220,mbta,111,59.2461538462,2.34704900956
222,mbta,147,62.4197530864,1.32277483812
230,mbta,152,63.0,0.0
240,mbta,174,73.2,0.718021974285
426,mbta,130,84.9,2.49466096561
442,mbta,174,61.1690140845,0.871875354397
455,mbta,158,55.3831775701,8.74310928655
