tag,title,lat,lon,merged
1,Washington St opp Ruggles St,42.3309699875,-71.0827649,1_0|63|1|1_1
10,Theo Glynn Way @ Newmarket Sq,42.33055,-71.06879,10
10000,Tremont St opp Temple Pl,42.3556899,-71.06291,10000_ar|10000
10003,Albany St opp Randall St,42.331629899999996,-71.07629495,10003|10100
10005,Albany St opp E Concord St,42.33502,-71.07128,10005
10006,Albany St opp E Newton St,42.3358099,-71.07013,10006
10007,540 Albany St opp Wareham St,42.338364999999996,-71.06661495,10012|10007
10008,Albany St opp Randolph St,42.340034900000006,-71.06429499999999,10011|10008
10009,High St @ Duck Lane,42.2149899,-70.91592,10009
1001,Newton St @ Arlington Rd,42.3076599,-71.16952,1001
10010,Southampton St @ Newmarket St,42.33099489999999,-71.06464495,9955|10010
10013,Albany St @ E Dedham St,42.3375599,-71.0678699,10013
10014,Albany St opp Boston Medical,42.33437495,-71.07226495,10014|25089
10015,Harrison Ave @ E Newton St,42.33751495,-71.072115,10015|5091
10016,TradeCenter 128,42.4993999,-71.16238,10016|10016_1
10031,E 1st St @ P St,42.3383099,-71.0271299,10031
10032,E 1st St opp O St,42.33822495,-71.02931995,10033|10032
101,Massachusetts Ave @ Sidney St,42.3629260875,-71.099492475,101|adp|73|masssydn
10101,Melnea Cass Blvd @ Harrison Ave,42.33207745,-71.079292425,11792|10101|6
10134,Massachusetts Ave @ NStar,42.324719900000005,-71.06506995000001,10134|126
102,Massachusetts Ave @ Prospect St,42.3651049,-71.103235,102|72
1026,Chestnut Hill Ave @ Veronica Smith Ctr,42.34767239999999,-71.153947475,1026|1108|1026_ar
1027,Chestnut Hill Ave @ Englewood Ave,42.33712,-71.15208,1027
1028,Chestnut Hill Ave @ Commonwealth Ave,42.3379499,-71.15308,1028
1029,Chestnut Hill Ave @ Commonwealth Ave,42.33831995,-71.15357495,1090|1029
1030,Chestnut Hill Ave @ Strathmore Rd,42.34037495,-71.15528,1089|1030
1031,Chestnut Hill Ave @ Chiswick Rd,42.34126995,-71.15471495,1088|1031
1032,Chestnut Hill Ave opp Wiltshire Rd,42.34305995,-71.15353995000001,1032|1087
1033,Chestnut Hill Ave @ Wallingford Rd,42.34467495,-71.15325494999999,1086|1033
1034,Chestnut Hill Ave @ Union St,42.3461162,-71.1530186,1034
1035,Market St @ Washington St,42.3491687,-71.153565,918|973|1035|1084
1036,Market St @ Sparhawk St,42.35162495,-71.15190989999999,1083|1036
1038,Market St @ Gardena St,42.35428,-71.1502949,1081|1038
1039,Market St @ N Beacon St,42.35557,-71.1493699,1039
104,Massachusetts Ave @ Bigelow St,42.3667799,-71.10605995,71|104
1040,Market St @ Guest St,42.35731,-71.1482799,1040
1041,Market St @ Centola St,42.35928,-71.14708,1041
10413,Columbus Ave @ Weld Ave,42.3152299,-71.09778495,10413|1188
10417,American Legion Hwy @ Blue Hill Ave,42.2982699,-71.0872399,10417
10418,American Legion Hwy opp Franklin Hill Ave,42.29579995,-71.0923649,86500|10418
10419,American Legion Hwy @ Canterbury St,42.28573495,-71.10995495,10419|96500
1042,Market St @ Lothrop St,42.3604599,-71.14634,1042
10420,opp 150 American Legion Hwy,42.29475,-71.0932999,10420
10421,American Legion Hwy @ Walk Hill St,42.28769995,-71.106695,66500|10421
10422,American Legion Hwy opp Shopping Center,42.284755000000004,-71.11150995,10422|56500
10423,American Legion Hwy @ Stella Rd,42.28072995,-71.11612,10423|36500
10424,American Legion Hwy @ Cummins Hwy,42.278581149999994,-71.11647875,26500|10424|96459|16434
10425,American Legion Hwy opp Shopping Mall,42.27434495,-71.1166449,16500|10425
10426,American Legion Hwy @ Army Reserve,42.28425,-71.1124399,10426
10427,American Legion Hwy opp Kingbird Rd,42.293245,-71.09437495,76500|10427
1043,Western Ave @ Mackin St,42.3617649,-71.14420995,1043|1077
1044,Western Ave @ Richardson St,42.3619,-71.1432799,1044
1045,450 Western Ave,42.3622499,-71.14157,1045|1076
1046,Western Ave @ Litchfield St,42.362595,-71.13967995,1075|1046
1049,Western Ave @ Everett St,42.363135,-71.13548995,1049|1072
1051,Western Ave @ Travis St,42.3632499,-71.12852,1051
1052,130 Western Ave,42.36353,-71.12504,1052
10522,Circuit Dr @ Glen Ln,42.30516995,-71.09469995,10522|11587
1053,Western Ave @ Genzyme,42.36398995,-71.1197499,1053|1067
10540,Morton St @ Evans St,42.28083495,-71.08463495000001,10540|529
1055,River St opp Blackstone St,42.36191,-71.11438,1055
1056,River St @ Fairmont St,42.36258895,-71.1124373,rivfair|1056
10569,2165 Dorchester Ave,42.27630995,-71.06695995,594|10569
1058,River St @ Pleasant St,42.36388485,-71.1086053,rivpleas|1058
10582,River St opp Fremont St,42.27000495,-71.08993989999999,580|10582
10590,Massachusetts Ave @ Washington St,42.3364774,-71.07701625,59|5|10590|55
106,Massachusetts Ave @ Hancock St,42.36836995,-71.10878,106|69
1060,Magazine St @ Green St,42.3650674,-71.1043325,1060|1060_ar|1123_ar|1123
10603,Washington St @ Durnell Ave,42.28218995,-71.13269995,10603|10633
1061,Western Ave @ Kinnaird St,42.3649499,-71.1088999,1061
10612,Washington St opp W Boundary Rd,42.2679199,-71.15,10612
10618,Washington St @ Sumner St,42.2563749,-71.16310999999999,71618|10618
1062,Western Ave @ Howard St,42.3648,-71.1106499,1062
10625,Washington St opp Heron St,42.268799900000005,-71.14877495,10625|612
1064,Western Ave @ Putnam Ave,42.3644899,-71.11411,1064
10642,Forest Hills Station Upper Busway,42.3005199,-71.11369,875_1|10642_1|875|8750_ar|10642_ar|10642|8750|875_ar
1068,125 Western Ave,42.3636899,-71.12439,1068
107,Massachusetts Ave @ Dana St,42.369105,-71.1106,68|107
1070,Western Ave @ N Harvard St,42.3634524,-71.12917250000001,1070|2553|2561
1071,Western Ave opp Riverdale St,42.363199949999995,-71.13205995,1071|1589
1074,367 Western Ave opp Brighton Mills Mall,42.3628099,-71.1385199,1074
10768,Centre St @ Grove St,42.268874999999994,-71.16185995000001,10769|10768
