from,to,routes,length,road_length,travel_time
13567,13568,38,0.1369799219034498,0.1467,0.0
13568,4285,38,0.13928212344084606,0.3658,1.0
13568,6111,38,0.07673567885991632,0.0772,0.03464356904418505
13619,14576,56,0.2165153005717551,0.2396,0.0
13619,17007,56,0.2959580705486439,0.4002,1.0
13692,17011,56,0.15805417986642722,0.15819999999999998,0.0
13692,36352,56,0.15274180166399257,0.1859,1.0
14575,13619,56,0.15037895894407774,0.2152,1.0
14576,17007,56,0.14676183270482257,0.1606,0.5
14576,7747,56,0.11123130004055945,0.1385,1.0
14773,14776,28,0.11267958653753542,0.1163,1.0
14773,5819,76X,3.2529071042858835,3.6643000000000003,4.0
14776,3887,28,2.4924154855475393,3.4643,5.0
14776,6181,28,2.6141116878877586,2.8519,4.8
14809,16344,9R|9,0.17004613217642983,0.1816,1.4
14809,34895,9R|9,0.25954658242243206,0.26039999999999996,1.33333333333
15135,34341,57|28,0.5838127580131126,1.8479,2.8
15135,37842,57,0.5261764087356905,1.6854000000000002,4.2
15135,5134,28,0.30746869815868605,2.1078,1.0
15135,7792,57,0.28292213810333616,2.3566,4.5
15135,7805,57,0.40086399679356954,2.4827,4.875
15247,16744,M|KT|L|K_OWL|M_OWL,1.0213475481424386,1.8645,3.0
15247,3311,KT|L|M,2.6314187663695354,3.6035,3.33333333333
15247,4878,36|44|43,0.37220605655492905,1.621,3.2
15247,5256,43,0.2540897715308343,0.9887,1.6
15247,6933,36|52|44|K_OWL|M_OWL,0.28930907243977955,1.1003,1.2
15450,15453,36,0.08376097467142034,0.09620000000000001,1.33333333333
15450,15455,36,0.12059266663907227,0.12059266663907227,1.05555555556
15452,15453,36,0.2264689904033077,0.2511,0.0
15453,15450,36,0.08376097467142034,0.09620000000000001,0.166666666667
15453,15452,36,0.2264689904033077,0.2511,0.166666666667
15455,15450,36,0.12059266663907227,0.1197,0.944444444444
15455,16228,36,0.10145634391811043,0.1105,1.33333333333
15511,13567,38,0.09176903459251455,0.2288,3.0
15850,35859,10,0.13547193653234338,0.13547193653234338,2.0
15850,5158,12,0.10377477721651289,0.12040000000000001,1.0
15850,5843,10|12,0.13368921648181292,0.134,1.93333333333
15850,5983,19,0.12159613650641,0.15330000000000002,1.0
16228,15455,36,0.10145634391811043,0.1105,1.33333333333
16228,16229,36,0.13478111626213135,0.1348,1.73333333333
16229,16228,36,0.13478111626213135,0.1348,1.77777777778
16229,6670,36,0.16564275786057536,0.1699,1.66666666667
16229,6672,36,0.14874663303361435,0.1641,1.77777777778
16339,16346,91|9|9R|8BX|8,0.20120123134136808,0.2159,0.65
16339,16565,9R|9,0.14183805437637176,0.22290000000000001,0.55
16339,6578,91|8|8BX,0.12467240437207357,0.1504,0.8
16344,14809,9R|9,0.17004613217642983,0.1816,1.0
16344,16346,91|9|9R|8BX|8,0.17860573987808606,0.1785,0.9
16344,7300,91|8|8BX,0.283526586003038,0.304,1.0
16346,16339,91|9|9R|8BX|8,0.20120123134136808,0.2159,0.84
16346,16344,91|9|9R|8BX|8,0.17860573987808606,0.17860573987808606,0.72
16453,34782,23,0.13849614193374227,0.1552,1.0
16453,6451,18|23,0.21718943502999805,0.3842,0.5
16565,16339,9R|9,0.14183805437637176,0.22290000000000001,0.333333333333
16565,16568,9R|9,0.14571410705864332,0.14571410705864332,0.15
16568,16565,9R|9,0.14571410705864332,0.1455,0.15
16568,16575,9R|9,0.09363859524938106,0.094,0.05
16575,16568,9R|9,0.09363859524938106,0.094,0.05
16744,15247,M|KT|L|K_OWL|M_OWL,1.0213475481424386,1.6889,2.68333333333
16744,6736,L_OWL|L|48,0.2465567706321837,0.5351,1.0
16744,6837,57|48,0.16159643001402596,0.19269999999999998,1.0
16744,6896,91|M|KT|K_OWL|M_OWL,0.43202041070819674,0.8455,1.5
17007,14576,56,0.14676183270482257,0.1606,0.0
17007,17008,56,0.0798810446765,0.08,0.0
17008,17007,56,0.0798810446765,0.08,0.0
17008,17011,56,0.15854707248078076,0.15854707248078076,0.0
17011,13692,56,0.15805417986642722,0.15819999999999998,0.5
17011,17008,56,0.15854707248078076,0.15854707248078076,0.5
17027,5293,43,0.2438088342250554,0.2918,0.8
17027,6104,43,0.2164833852219812,0.4264,1.0
17383,17027,43,0.24307193694062915,0.3336,1.0
3003,3009,10,0.3946977296908267,0.3949,1.8
3003,3015,10,0.18380298009967533,0.1867,0.5
3009,3003,10,0.3946977296908267,0.3949,1.0
3009,3011,10,0.35955387929355,0.3598,1.0
3009,4967,12,0.2984572143426566,0.3109,1.0
3011,3009,10|12,0.35955387929355,0.6890000000000001,1.375
3011,5529,10|12,0.2224992431914086,0.7396,1.0
3013,3011,10|12,0.31098510417823516,0.31110000000000004,1.6
3015,3003,10,0.18380298009967533,0.3335,0.2
3015,6692,10,0.3029005829631331,0.3124,1.0
3016,5239,T_OWL|91|KT,0.5435062038387707,1.6658,4.0
3016,7360,KT,0.473260862888026,0.4733,1.4
3018,3685,54,0.11380959622430777,0.1138,0.5
3018,5932,54,0.18982439107169924,0.2073,1.0
3018,6358,90|9|9R|8AX|8,0.4182045769344075,0.4342,1.2
3018,6367,90|9|8AX|8,0.28008209206073303,0.30860000000000004,1.2
3020,3687,54,0.09097390244771816,0.0942,0.0
3020,5029,54,0.1679384412704387,0.234,1.0
3023,3705,29,0.20383200556147912,0.2115,1.0
3024,35331,41|45,0.1350358507934677,0.1443,1.0
3031,34823,8BX|8,0.20981225806492235,0.305,1.8
3032,3034,31|31BX,0.1924020046491139,0.19390000000000002,0.5
3032,3067,31|31BX,0.2796718814450011,0.2824,1.2
3034,3032,31|31BX,0.1924020046491139,0.19390000000000002,0.8
3034,3036,31|31BX,0.18525051057152048,0.19019999999999998,0.8
3034,3184,44,0.4096587547400981,0.4098,2.0
3034,7538,44,0.22327511492055072,0.29510000000000003,1.8
3036,3034,31|31BX,0.18525051057152048,0.19019999999999998,0.5
3036,3038,31|31BX,0.1875076229955991,0.1876,0.4
3038,3036,31|31BX,0.1875076229955991,0.1876,0.5
3038,3040,31|31BX,0.18838982105529675,0.1885,0.4
3040,3038,31|31BX,0.18838982105529675,0.1885,0.1
3040,3042,31|31BX,0.17761883935232442,0.17761883935232442,1.0
3042,3040,31,0.17761883935232442,0.1776,1.0
3042,3043,31|31AX,0.3030052366650335,0.30310000000000004,1.0
3042,4231,91|28,0.4064262831670676,0.45210000000000006,1.2
3042,4755,91|28,0.42652650219242827,1.105,1.0
3043,3042,31|31AX,0.3030052366650335,0.30310000000000004,1.0
3043,3045,31|31AX,0.18838125588964344,0.1884,0.8
3045,3043,31|31AX,0.18838125588964344,0.1884,0.5
3045,3047,31|31AX,0.18882956112048693,0.189,0.1
3047,3045,31|31AX,0.18882956112048693,0.189,0.0
3047,3049,31|31AX,0.18835448149729173,0.1884,1.0
3049,3047,31|31AX,0.18835448149729173,0.1884,1.0
3049,3051,31|31AX,0.1926795388592081,0.19280000000000003,0.75
3051,3049,31|31AX,0.1926795388592081,0.19280000000000003,0.5
3051,3053,31|31AX,0.278708467802271,0.2789,1.0
3051,3499,29,0.41320200214553326,0.4136,2.0
3051,3500,29,0.4254496985199499,0.4283,2.0
3053,3051,31|31AX,0.278708467802271,0.2789,1.0
3053,3055,31|31AX,0.20025835337300638,0.2003,0.25
3055,3053,31|31AX,0.20025835337300638,0.2003,0.0
3055,3057,31|31AX,0.17738919646878487,0.1774,0.75
3057,3055,31|31AX,0.17738919646878487,0.1774,0.5
3057,3059,31|31AX,0.21477146974393918,0.2149,0.375
3059,3057,31|31AX,0.21477146974393918,0.2149,0.0
3059,3061,18|31|31AX,0.25701169654759964,0.25710000000000005,1.0
3059,3553,18,0.11925792095146297,0.12919999999999998,0.75
3061,3059,18|31|31AX,0.25701169654759964,0.25710000000000005,1.0
3061,3063,18|31|31AX,0.2816731614610266,0.2818,1.0
3063,3061,18|31|31AX,0.2816731614610266,0.2818,1.0
3063,3065,18|31|31AX,0.28349857828072594,0.2836,0.666666666667
3065,3063,18|31|31AX,0.28349857828072594,0.2836,0.625
3065,3570,18|31|31AX,0.1901126210415285,0.2031,0.0833333333333
3067,3032,31|31BX,0.2796718814450011,0.2824,1.0
3067,3648,33,0.3313172799644882,0.6541,1.8
3067,3649,33,0.4404639338634464,0.6183,2.0
3067,6731,31|31BX,0.30701170683108303,0.3112,0.8
3072,3077,30|30X,0.10571118833239446,0.1058,0.0
3074,3076,30,0.10348844342137677,0.10350000000000001,0.6
3075,3072,30|30X,0.10378381674435458,0.1039,0.6
3076,5173,30,0.1314186496871329,0.1515,0.4
3077,3074,30|30X,0.10597592091634905,0.106,0.0
3082,3084,10|12,0.21891938157659677,0.2807,1.0
3084,7862,10|12,0.14523655243169928,0.1456,1.0
3085,4604,22,0.13234745214968954,0.16019999999999998,0.5
3085,6492,22,0.09521684026421891,0.113,0.4
3087,3082,10|12,0.16677338133345132,0.4776,1.5
3089,35056,30X|5R|5,0.34197262259459477,0.4102,2.8
3089,7619,38R|82X|81X|38|7,0.33130069101195087,0.3316,2.13333333333
3090,4430,30,0.0936452777535627,0.0936,0.4
30913,3767,52,0.1491411358956354,0.1782,0.333333333333
3092,3095,E|F,0.294656420206891,0.294656420206891,1.1
3093,5468,19,0.13940284034696787,0.1789,1.0
3095,4501,E|F,0.42524581966568814,0.45310000000000006,3.1
3096,3693,35,0.19716206260008692,0.19716206260008692,0.75
3103,3108,T_OWL|91|KT,0.6092842314126695,1.0349000000000002,1.4
3103,3432,48,0.2944881302626699,0.7235,2.0
3103,6657,22,0.2661679714209905,0.5273,1.8
3103,7356,T_OWL|91|KT,0.407818020630086,0.4162,1.2
3108,3103,KT,0.6092842314126695,1.0312999999999999,2.0
3108,7353,T_OWL|91|KT,0.6889002271438203,0.8805000000000001,3.0
3113,3141,T_OWL|91|KT|54,0.2053495954423526,0.20550000000000002,0.666666666667
3113,3149,T_OWL|91|KT,0.35332446607769924,0.5764,1.8
3113,6253,54,0.1346613280376434,0.1527,0.1
3114,3144,30|91|45,0.4466393845505314,0.44680000000000003,1.5
3115,3149,T_OWL|91|KT,0.44548739889218075,0.45139999999999997,1.8
3115,4783,T_OWL|91|KT,0.35234110789198225,0.4026,1.2
3122,3127,KT,0.28390957203630107,0.5036,0.9
3122,4553,91|19|44,0.37111587593272366,0.9712999999999999,1.2
3122,4561,19,0.2695194947288114,0.46480000000000005,0.0
3122,7353,T_OWL|KT,0.7090407482103577,1.7196,2.75
3124,3128,30|91|8AX|8|45|8BX,0.11612355149762463,0.11620000000000001,0.6
3127,3122,T_OWL|91|KT|44,0.28390957203630107,0.32660000000000006,0.9
3127,3129,54,0.10650312917088685,0.2074,1.0
3127,3135,KT,0.27775030652451393,0.8017000000000001,1.0
3127,5048,54,0.23825316741421407,0.26339999999999997,7.0
3128,3136,30|91|8AX|8|45|8BX,0.21670784170812274,0.241,1.73333333333
3129,3135,T_OWL|91|54,0.17425720386677818,0.6314,0.0
3134,3127,T_OWL|91|54,0.3424289846069676,0.3424289846069676,8.16666666667
3135,3127,KT,0.27775030652451393,0.27775030652451393,1.0
3135,3141,KT,0.42706693217466846,1.0188,1.6
3135,3143,T_OWL|91|54,0.3457853845805024,0.7167000000000001,1.0
3136,4301,30|91|81X|8AX|8BX|45|8,0.22285268922404342,0.27080000000000004,1.6
3136,5529,14X|14R|14,0.224005409146139,0.224005409146139,1.0
3141,3113,KT,0.2053495954423526,0.843,0.6
3141,3134,T_OWL|91|54,0.36214457960518087,0.3623,1.5
3141,3135,KT,0.42706693217466846,0.4272,1.2
3141,5490,24MC|24,0.25348807647930316,0.303,2.0
3141,5875,44|23,0.20885441170641617,0.3995,3.01666666667
3141,5877,44|23,0.20313902814749493,0.4868,0.6
3143,3113,T_OWL|91|54,0.2867270882111944,0.7692000000000001,1.8
3144,3124,30|91|8AX|8|45|8BX,0.32159785058542506,0.3217,1.93333333333
3149,3113,T_OWL|91|KT,0.35332446607769924,0.3545,1.2
3149,3115,T_OWL|91|KT,0.44548739889218075,0.46580000000000005,1.0
3149,6185,54,0.24556438992048685,0.25830000000000003,0.5
3149,6841,54,0.24295645323819276,0.2439,1.0
3163,3114,30|45,0.2964576252639609,0.3415,2.0
3163,3174,10,0.2643760330425521,1.0962,1.0
3163,37776,83X|47,0.1280790087935691,0.9594,1.0
3163,6691,10,0.31050713854843354,0.3109,1.0
3166,3163,30|91|45,0.3265167256419185,0.45880000000000004,2.35
3166,4969,47,0.3989231064012101,0.41600000000000004,3.0
3168,3170,27,0.15878432914993523,0.15880000000000002,1.8
3168,4658,12,0.2775323045532764,0.2923,1.66666666667
3168,4969,30|91|27|8AX|8BX|45|8,0.2039950323462574,0.2184,1.0
3170,3168,30|91|27|8AX|8BX|45|8,0.15878432914993523,0.15880000000000002,1.0
3170,3172,27,0.23628436694904403,0.23650000000000002,1.2
3172,3170,91|27|8AX|8|8BX,0.23628436694904403,0.23650000000000002,1.0
3172,3208,14R,0.8558591349708567,1.5949000000000002,3.0
3172,3611,27,0.18748812240587506,2.0943,1.8
3172,5533,14X|14R|14,0.30955957897167646,0.32889999999999997,1.475
3172,5538,14,0.31892448936747103,0.33580000000000004,1.8
3174,3163,10,0.2643760330425521,0.27380000000000004,1.0
3174,3166,47,0.17625841051238567,0.185,0.0
3174,6698,10,0.2839554245329109,0.2842,0.2
3181,3184,44,0.23427550304506684,0.2396,2.0
3181,3831,44,0.5903700551215788,0.7663,3.8
3181,4041,2,0.2280227456797691,0.22790000000000002,1.0
3181,4044,2,0.15406862424351275,0.15406862424351275,0.4
3182,3181,44,0.20609769072938847,0.21880000000000002,1.0
3182,3822,1BX|1,0.19214051524995632,0.2106,0.8
3182,3827,1,0.2001552305149479,0.21780000000000002,0.4
3184,3034,44,0.4096587547400981,0.4098,1.0
3184,3181,44,0.23427550304506684,0.40950000000000003,1.4
3184,3649,38R,0.4744731471787143,0.8897,2.0
3184,4255,38BX|38,0.28246567901487357,0.6942999999999999,1.6
3184,4259,38BX|38,0.28426459000926446,0.6951,1.7
3184,4755,38R,0.7222499609347053,1.1593,3.0
3187,3193,12|47|27,0.2610379516823361,0.276,1.0
3187,6367,8AX|8,5.2422312974338565,5.614800000000001,7.66666666667
3188,4852,44|43,0.2071072288556701,0.2235,0.325
