tag,api,stops_count,wait_time_mean,wait_time_std
E,sf-muni,33,-1,-1
F,sf-muni,59,6.71186440678,6.861958132
J,sf-muni,53,8.22448979592,5.58885664669
KT,sf-muni,92,8.01445086705,5.50903822415
L,sf-muni,60,12.9184782609,8.81752737385
M,sf-muni,60,12.1598360656,9.08086765404
N,sf-muni,71,6.81686046512,6.6107431524
NX,sf-muni,24,8.375,6.29028682441
1,sf-muni,97,6.09785202864,3.23502168689
1AX,sf-muni,34,13.6507936508,5.39593830244
1BX,sf-muni,29,14.0909090909,2.258500929
2,sf-muni,78,16.4985074627,4.26710753644
3,sf-muni,59,16.1871921182,2.90649578213
5,sf-muni,90,10.1276595745,5.57279494137
5R,sf-muni,65,5.69841269841,3.22014946234
6,sf-muni,97,10.4052631579,7.0273131561
7,sf-muni,107,9.71495327103,5.47321948581
7X,sf-muni,78,11.7841726619,2.28464562033
8,sf-muni,111,7.10894941634,3.43417784855
8AX,sf-muni,48,5.0,2.67841614457
8BX,sf-muni,94,6.16489361702,2.86939861172
9,sf-muni,121,12.0211480363,4.88132638967
9R,sf-muni,88,6.78486055777,4.28486750348
10,sf-muni,128,14.6012793177,4.20742546779
12,sf-muni,86,13.9912790698,4.03940396723
14,sf-muni,94,11.7392996109,7.99745413624
14R,sf-muni,46,6.81699346405,3.37897750806
14X,sf-muni,56,9.73076923077,4.53030557899
18,sf-muni,90,18.6034482759,1.77892827583
19,sf-muni,140,14.2375,7.09645440897
21,sf-muni,58,9.70689655172,5.44647504067
22,sf-muni,92,7.91206030151,3.91297356071
23,sf-muni,135,23.6785714286,7.6555209577
24,sf-muni,120,6.81360946746,5.03750942162
24MC,sf-muni,40,-1,-1
25,sf-muni,23,14.4565217391,1.00447956975
27,sf-muni,95,14.4,2.30400109649
28,sf-muni,79,8.90189873418,2.68490792617
28R,sf-muni,26,10.652173913,3.47798911982
29,sf-muni,179,10.5837988827,3.30818606878
30,sf-muni,71,8.3078817734,4.69317573385
30X,sf-muni,39,8.46052631579,6.07938879691
31,sf-muni,111,14.1544715447,6.26486203084
31AX,sf-muni,41,10.2666666667,5.57693663423
31BX,sf-muni,33,12.8888888889,4.01628079992
33,sf-muni,87,14.0428571429,2.66423783948
35,sf-muni,64,13.6796875,2.41555374652
36,sf-muni,126,27.3950177936,4.64970554492
37,sf-muni,95,16.3512064343,6.60875038524
38,sf-muni,99,13.1807909605,6.16405412178
38R,sf-muni,49,4.15306122449,3.36807351469
38AX,sf-muni,26,12.0425531915,3.44536350062
38BX,sf-muni,35,10.671875,3.06723963596
39,sf-muni,39,19.4383561644,1.12853768116
41,sf-muni,57,7.06967213115,2.79476645977
43,sf-muni,175,9.86428571429,4.01748093477
44,sf-muni,130,8.18604651163,3.36596609917
45,sf-muni,61,11.1762295082,1.85920630337
47,sf-muni,59,6.82203389831,2.81681198548
48,sf-muni,160,11.4783306581,8.13464712761
49,sf-muni,78,6.90384615385,4.18602505008
52,sf-muni,71,20.380952381,4.33581823049
54,sf-muni,168,18.4117647059,2.6581467124
55,sf-muni,28,14.9285714286,1.72541033274
56,sf-muni,53,32.2191780822,7.43233692732
57,sf-muni,85,17.664556962,5.93115648156
66,sf-muni,55,19.5454545455,0.744415193283
67,sf-muni,44,18.2011494253,2.40444962292
76X,sf-muni,54,-1,-1
81X,sf-muni,8,-1,-1
82X,sf-muni,20,18.0,0.0
83X,sf-muni,8,18.15625,6.19026137877
88,sf-muni,21,20.0,0.0
90,sf-muni,78,-1,-1
91,sf-muni,224,-1,-1
K_OWL,sf-muni,90,-1,-1
L_OWL,sf-muni,91,-1,-1
M_OWL,sf-muni,97,-1,-1
N_OWL,sf-muni,109,-1,-1
T_OWL,sf-muni,75,-1,-1
59,sf-muni,46,5.66666666667,1.43372087784
60,sf-muni,56,-1,-1
61,sf-muni,37,0.785714285714,0.410325903324
