from,to,routes,length,road_length,travel_time
264,3631,6,0.1288654140960018,0.254,0.10381106447374733
265,4995,11|28,0.2173687694850412,0.22280000000000003,0.303571428571
265,8013,11|28,0.2840690245725018,0.28550000000000003,0.333333333333
266,5109,112|45,0.36035059652349744,0.36710000000000004,1.0
267,4040,45,0.44297487867062857,0.5234,0.27418922780988775
268,5109,45,0.15210291936413123,0.1542,0.09414751042595863
268,9687,45,0.5868963967892892,0.7605000000000001,0.36327267659733886
270,280,25|354|325,0.2253868333925353,0.2255,1.0
270,4912,34|354|334,0.9898885609169664,1.3804,1.8
270,7497,34|100,0.26028431042998745,0.3414,1.0
270,8401,185,0.7497447169831446,0.8138,2.0
273,1305,25|325,0.46434048916553,0.618,1.14285714286
273,4282,185,2.1155770468522963,2.2286,4.0
274,3480,25|10|169|325,0.2303511536739565,0.6886,1.0
275,515,144,6.852306744808763,8.796100000000001,5.520063410879975
278,638,185,0.27683257280182727,0.3603,0.17135172449721672
278,4582,53|353,0.23503480447569386,0.3557,0.388888888889
278,6399,25|51|325,0.2706276213614315,0.4002,1.0
278,6794,53|353,0.19356501979875582,0.2086,0.4
279,805,10|169,0.25200906966475767,0.2546,1.0
279,1329,25|10|169|325,0.37865879231686245,0.4146,1.0
279,1743,185,0.6184566381291089,1.1714000000000002,1.0
279,6878,185,0.5656385687970684,0.612,1.0
279,8230,25|325,0.3364217198898086,0.3561,0.4
280,8401,25|354|325,0.5245471189433395,0.5882999999999999,1.0
284,2813,87,0.1594099930197993,0.2204,0.8
284,6588,62,0.18561819125423257,0.24730000000000002,1.0
284,14255,87|62,0.32362141863791616,0.34500000000000003,0.0
289,290,98|125,0.18385577508651682,0.1982,1.45833333333
289,4617,125,0.2627900571101843,0.2627,2.28571428571
289,4998,98,0.2464581120138568,0.2686,0.5
290,289,98|125,0.18385577508651682,0.1982,1.5380952381
290,3160,98,0.25263463263846647,0.2537,0.0
290,8515,125,0.3211316424063813,0.3312,2.4
291,2688,329|29,0.433449655999521,0.7001000000000001,1.2
291,7108,329|29,0.1952397399876078,0.35860000000000003,0.8
291,7925,47,0.383019909161354,0.4334,0.23707875589679198
293,291,47|329|29,0.1559774641242961,0.1559774641242961,0.4
295,310,504|168|505,0.08966595070484452,0.3847,1.225
295,1832,300,0.3922882914787878,0.4223,0.3160185795752945
297,14927,55,0.34417533141688794,0.3446,0.5
298,820,79,0.3712125541511311,0.5087,1.0
298,2436,79|71,0.2345557035540412,0.42810000000000004,1.0
298,3371,79|71,0.3434012415124897,0.5825,0.444444444444
298,5582,30,0.25443984622371746,0.2546,1.0
298,9786,40|312|30,0.2698562376188507,0.2698562376188507,0.35
303,326,34|54|51|56,0.2633620505242037,0.2635,1.37777777778
303,14189,32|5|61,0.10037017307013389,0.10037017307013389,0.08085594246461297
303,14192,32,0.1815067180523009,0.3396,0.11234765053589303
308,779,501|301,0.33227755239916984,0.4678,1.71428571429
308,1260,501|301|143,0.3063224833322061,0.31980000000000003,0.5
308,2754,22|322,0.31566761051291337,0.5113,0.19538954134571557
308,3281,22|503|322|502,0.34988866568941057,0.3501,1.0
310,1115,504|505|304,0.41632316520487694,0.4791,0.3353805305184594
310,1832,168,0.4325909270412134,0.5661,2.25
310,6840,40|312,0.1370054481446217,0.1575,0.0
311,323,334|86|20|300|21|12|116,0.11194652083045846,0.2061,0.6
312,7884,34|54|51|334|354|56,0.21291808108879437,0.21330000000000002,0.730555555556
317,4194,34|334|86|300|12|116,0.3699125673287483,0.3917,0.722222222222
318,4140,34|334,0.14682954348647156,0.3755,0.8
320,986,343|334,0.18166480527325948,0.19590000000000002,0.11244550216389354
320,14227,34|43,0.3032358745004984,0.3105,0.18769463975714282
