from,to,routes,straight-distance,road-distance
264,4165,6,0.116215078706315,0
265,10375,11,0.28938600840080697,0
311,8890,12,0.11132557488606773,0
317,4194,12,0.3522080576856327,0
359,5481,15,0.12157875402781292,0
384,3485,7,0.2104596891672046,0
386,4934,7,0.2124987547608489,0
388,6130,7,0.36278502142826935,0
394,8328,11,0.38200334402083835,0
417,8721,9,0.25342390719341046,0
461,9121,5,0.13489805607197217,0
493,3852,5,0.3179744874883924,0
494,9666,5,0.28106829777891595,0
495,6734,5,0.21230714545040388,0
543,6397,15,0.4445688021394879,0
599,10324,8,0.2594525913585914,0
707,6335,7,0.20379695039235673,0
725,6854,14,0.4090508449101731,0
727,3432,14,0.2468740250637873,0
730,7559,11,0.18142535732171428,0
735,1602,9,0.26158090015699725,0
737,7466,11,0.22372263552841967,0
751,9653,5,0.28779593086856325,0
767,6569,11,0.06706427766983579,0
805,1047,10,0.18444594466886,0
808,9685,9,0.21316386748917449,0
810,5544,9,0.34801705469998845,0
811,5932,9,0.21688630669898326,0
812,810,9,0.11924149412068656,0
837,8853,7,0.31312974068777494,0
852,12890,11,0.25019676011857334,0
853,12890,11,0.23156823887464856,0
966,5167,8,0.29762018323074846,0
999,3243,12,0.09952105149240253,0
1001,15451,15,0.11647906561814445,0
1019,8677,7,0.3373478312696942,0
1025,3795,14,0.2422168792727194,0
1040,2336,11,0.3163882169359263,0
1047,8848,10,0.20079131401398612,0
1121,1596,9,0.3513931716931039,0
1143,2371,7,0.2579803862441504,0
1149,730,11,0.3498064958717768,0
1158,10296,14,0.23243682160448798,0
1163,7723,10,0.317758837578944,0
1164,15024,7,0.3544349694738057,0
1190,6012,12,0.3156539261910568,0
1190,8107,12,0.3122294934327821,0
1218,6743,11,0.21168733252923155,0
1239,7167,7,0.14453711725076923,0
1245,2031,9,0.1795671222049833,0
1262,7388,7,0.28760400216653953,0
1270,6054,7,0.18946261122515706,0
1315,1536,14,0.20210317633629493,0
1320,5538,7,0.18275238008141667,0
1329,6878,10,0.19560902196537203,0
1330,9472,12,0.2620236060888562,0
1343,2557,11,0.29952954770198953,0
1405,2492,5,0.23027831485710384,0
1408,417,9,0.249915064441894,0
1410,8008,6,0.14781071982341337,0
1413,7751,6,0.21857102445221877,0
1414,6768,8,0.2280570238334725,0
1430,7056,12,0.3204802301320267,0
1468,3287,12,0.28667141777610944,0
1477,6886,11,0.3825646527473117,0
1495,5824,15,0.18017297647848296,0
1496,4525,14,0.192706270012817,0
1507,3418,11,0.2500460263881333,0
1529,7514,12,0.23925369004305017,0
1536,1158,14,0.16703884783770523,0
1545,3834,14,0.3239085662331016,0
1596,2437,9,0.29158129615345385,0
1602,6603,9,0.12825077418834638,0
1605,9678,15,0.3397541228948763,0
1609,2997,7,0.35017485119584335,0
1642,2410,6,0.2572592729620257,0
1646,10125,5,0.27220009014276203,0
1650,4058,8,0.2453872160342608,0
1656,9828,7,0.24893410268116437,0
1661,9655,11,0.2986932467564949,0
1677,8586,6,0.2744029218451688,0
1752,2746,12,0.4599410814057847,0
1757,2794,12,0.23781991190863888,0
1758,1752,12,0.21840284146448585,0
1760,5753,11,0.7660287248717524,0
1778,1650,8,0.16448274368398688,0
1793,1891,7,0.3866133233699283,0
1836,4434,10,0.20601242189583194,0
1839,8067,11,0.2082024802483092,0
1857,4858,7,0.17561842846525036,0
1867,9330,9,0.17684106201697675,0
1886,8473,9,0.23628785527058066,0
1891,8137,7,0.18426828614791776,0
1920,8279,5,0.28590950014863376,0
1925,7593,9,0.35677460873623357,0
1937,6991,5,0.25878917340494906,0
1939,8903,12,0.1999428024640479,0
1945,4610,7,0.12672523159231827,0
1949,6172,12,0.34518385405632435,0
2004,8424,14,0.2180350779665441,0
2005,9721,7,0.2627626160355071,0
2031,3555,9,0.19150529621007426,0
2035,8080,7,0.22554537681789907,0
2045,7438,5,0.1899602833946947,0
2073,737,11,0.31163505497538196,0
2106,5616,6,0.10617429373761947,0
2129,6357,5,0.16432580929814228,0
2139,9738,14,0.28266842843501916,0
2160,4095,10,0.1418908447485166,0
2166,388,7,0.20906427631803878,0
2169,3714,11,0.10399779645764162,0
2200,7967,6,0.13680629850614234,0
2232,9359,9,0.34446804747378357,0
2250,9111,12,0.3905481437575308,0
2262,8192,9,0.21877548661427879,0
2268,1477,11,0.28351227175406307,0
2275,1529,12,0.24685279559287857,0
2328,4405,12,0.06757108809536168,0
2329,5662,8,0.30146587239115596,0
2336,8524,11,0.17748804725752818,0
2341,1239,7,0.18208546672337217,0
2349,1343,11,0.4733495401174467,0
2351,4940,14,0.19374882112836075,0
2359,8003,6,0.24826646701689314,0
2371,9234,7,0.09073425852359467,0
2373,7760,15,0.2969654206980941,0
2390,3951,7,0.17780827585297823,0
2410,7542,6,0.28883954387107297,0
2419,4677,11,0.21646510505780364,0
2437,8167,9,0.47857839237409655,0
2447,8986,12,0.21638727368244676,0
2450,5105,12,0.17987694223556305,0
2479,1410,6,0.19907010637275457,0
2482,1121,9,0.24118903194526706,0
2492,1646,5,0.2899312324676963,0
2493,2005,7,0.27977419623998245,0
2498,805,10,0.20697914239760798,0
2522,15032,12,0.39206665629836635,0
2526,2328,12,0.19148371028448224,0
2541,4180,9,0.46531151580950786,0
2543,5736,9,0.31704884476807704,0
2557,3858,11,0.3827508682165912,0
2586,6134,15,0.32468305830222427,0
2591,6632,11,0.0686556884778393,0
2594,10223,7,0.08947576226247203,0
2597,7811,9,0.24748251241581173,0
2600,2801,12,0.3345418271001853,0
2604,5614,11,0.18302167348973472,0
2606,8152,11,0.40524364852037703,0
2608,7921,12,0.2679349226118751,0
2612,7240,8,0.1775775507828179,0
2623,2608,12,0.2893052825996964,0
2628,5549,7,0.2383830654703044,0
2670,6222,10,0.20394324212293996,0
2671,2670,10,0.39687248128144814,0
2675,3312,14,0.1590671085057917,0
2685,14954,11,0.34949229852807806,0
2746,9298,12,0.24681307308427078,0
2753,7066,15,0.30885268557333034,0
2778,9701,14,0.19727888655963668,0
2794,2043,12,0.3124725008007184,0
2801,15031,12,0.20382978517514372,0
2802,9445,12,0.2865428736136157,0
2817,7835,7,0.24730018539914375,0
2896,8266,11,0.4089878537954854,0
2936,7486,9,0.2786759417597477,0
2939,2373,15,0.2727476594774189,0
2947,15282,7,0.12199290041551916,0
2963,2526,12,0.22752578557325676,0
2966,8892,12,0.1845799561638969,0
2968,7462,11,0.25463206808852673,0
2997,6683,7,0.32881795896414256,0
3018,4174,9,0.2815743685816203,0
3024,3630,9|12,0.1581713683775403,0
3050,7601,7,0.21209372753340738,0
3099,5979,7,0.3080234357585803,0
3105,6112,8,0.19020961519155727,0
3157,9430,5,0.33970806307105655,0
3188,9937,15,0.09697912627832089,0
3190,7229,15,0.2201741864033859,0
3195,5400,7,0.2266420267446946,0
3201,8044,15,0.15004371972217906,0
3212,2778,14,0.23405025633286028,0
3223,3767,7,0.10613045686029451,0
3243,10085,12,0.24615222563476638,0
3248,461,5,0.24934138066472325,0
3264,767,11,0.29618279445723095,0
3287,2450,12,0.4289665198305803,0
3312,6100,14,0.3029459594389447,0
3326,2817,7,0.3266190858183041,0
3333,2939,15,0.32430733565637637,0
3418,2419,11,0.13618599280202198,0
3432,2351,14,0.24206861615843975,0
3450,6234,6,0.2331060690315666,0
3463,8013,11,0.15737197696483032,0
3467,8329,15,0.24292308294340542,0
3480,14155,10,0.3979139307014994,0
3485,4298,7,0.262665476437096,0
3486,4048,14,0.44133952156694783,0
3519,5943,6,0.16189000545586996,0
3542,7763,5,0.20628574146367717,0
3553,725,14,0.24484972893654638,0
3555,9161,9,0.33173200936414027,0
3589,8918,6,0.23864262357854737,0
3605,9550,7,0.4440230252607737,0
3630,808,9,0.24465116943525664,0
3630,4405,12,0.21825536884359964,0
3642,4709,8,0.16796318268296484,0
3714,6069,11,0.17870385297569108,0
3715,1778,8,0.17755833278047167,0
3724,10168,11,0.3347035646623784,0
3734,8803,11,0.3447168886118567,0
3740,5872,9,0.1739393693702715,0
3753,12894,15,0.16478002020979682,0
3767,9214,7,0.2984726665105328,0
3788,7743,15,0.2824266822414829,0
3795,10058,14,0.12157611967284568,0
3801,1529,12,0.2644951525784508,0
3801,2275,12,0.018602175085505827,0
3807,6904,10,0.2339096716804893,0
3834,3934,14,0.11217368973153016,0
3852,7858,5,0.18952304960609,0
3858,1760,11,0.24670322597207126,0
3891,1001,15,0.3255330584707659,0
3897,7303,9,0.24513370108384008,0
3899,812,9,0.1774067474940542,0
3922,7014,12,0.43283962124585956,0
3934,14168,14,0.09714226408486393,0
3942,7994,7,0.3775928171131399,0
3951,1656,7,0.37912516776031985,0
3969,9595,9,0.06675326497060508,0
3981,9392,10,0.30586567400560605,0
4048,4764,14,0.1464186776472644,0
4058,3105,8,0.24928196199256428,0
