neighborhood,lat,lon,population,area,density
1,43.71328215,-79.59243005,33312,30.09,1107.078764
2,43.74539212,-79.58403993,32954,4.6,7163.913043
3,43.73702383,-79.56460251,10360,3.4,3047.058824
4,43.72378427,-79.56588081,10529,2.5,4211.6
5,43.72108113,-79.55001505,9456,2.9,3260.689655
6,43.69946051,-79.54849774,22000,5.1,4313.72549
7,43.68517196,-79.55065784,22156,5.5,4028.363636
8,43.69192599,-79.52209511,10948,2.8,3910
9,43.66851836,-79.522619,15535,5.5,2824.545455
10,43.66536016,-79.54577609,11051,5.2,2125.192308
11,43.65752729,-79.57599443,18588,8.6,2161.395349
12,43.63488545,-79.57255389,10554,2.9,3639.310345
13,43.64479255,-79.56807585,11848,1.7,6969.411765
14,43.63244568,-79.53834063,43965,16.4,2680.792683
15,43.65462327,-79.51309311,9271,2.6,3565.769231
16,43.63519636,-79.49780986,25051,7.9,3171.012658
17,43.61734033,-79.5069703,33964,6.9,4922.318841
18,43.60027345,-79.51084003,11463,3.5,3275.142857
19,43.59106339,-79.53319405,10084,2.3,4384.347826
20,43.60368909,-79.54164216,12054,5,2410.8
21,43.75949873,-79.5561998,12416,7.9,1571.64557
22,43.74298286,-79.53887423,15545,4.4,3532.954545
23,43.72043686,-79.53566066,10722,4.2,2552.857143
24,43.76500346,-79.52029474,21737,3.4,6393.235294
25,43.74638796,-79.51389742,30491,5.2,5863.653846
26,43.73520643,-79.47472734,35052,14.9,2352.483221
27,43.76484509,-79.48673309,27593,13.2,2090.378788
28,43.71148246,-79.49796132,9941,2.1,4733.809524
29,43.71582177,-79.48090574,10111,2.5,4044.4
30,43.70191686,-79.48565081,17757,3.5,5073.428571
31,43.71515139,-79.45713064,14804,5.9,2509.152542
32,43.72128225,-79.43809796,22372,3.6,6214.444444
33,43.7416836,-79.44687513,16472,4.2,3921.904762
34,43.76911753,-79.45969109,15873,4.8,3306.875
35,43.77685573,-79.45110393,26274,3.7,7101.081081
36,43.78604422,-79.43159061,23831,4.7,5070.425532
37,43.77149274,-79.4279282,16936,2.9,5840
38,43.75201681,-79.42426494,16164,5.4,2993.333333
39,43.73082486,-79.42448042,23236,5.5,4224.727273
40,43.75482934,-79.37874968,17812,7.3,2440
41,43.73008334,-79.37394308,9266,8.8,1052.954545
42,43.73634517,-79.34758575,27695,10,2769.5
43,43.72861124,-79.31202174,17510,4.7,3725.531915
44,43.71645255,-79.33743144,21933,2.5,8773.2
45,43.75406146,-79.32979189,34805,7.5,4640.666667
46,43.78878375,-79.3357062,15818,3,5272.666667
47,43.78349184,-79.35370311,27051,4.1,6597.804878
48,43.80269857,-79.35338252,16934,5.3,3195.09434
49,43.79693453,-79.38214158,13154,4.1,3208.292683
50,43.79141042,-79.40591517,16097,4.1,3926.097561
