tag,api,stops_count,wait_time_mean,wait_time_std
5,ttc,60,18.7719298246,5.21811132015
6,ttc,60,13.0052631579,4.51021923661
7,ttc,121,6.64049586777,3.26433465592
8,ttc,39,29.8,0.4
9,ttc,96,21.3214285714,1.58234842263
11,ttc,110,15.7826086957,12.2455192222
12,ttc,112,29.2640449438,1.12327242546
14,ttc,58,20.1964285714,0.84345469133
15,ttc,70,29.9295774648,0.255857776403
16,ttc,76,11.737037037,0.865661018314
17,ttc,133,16.8140495868,2.47852948222
20,ttc,81,22.8740740741,1.56076728343
21,ttc,92,17.04,1.50057766654
22,ttc,51,9.04166666667,2.70576801584
23,ttc,39,8.59615384615,3.6528507416
24,ttc,142,7.60779816514,1.1413149167
25,ttc,120,7.33258928571,2.96536713143
26,ttc,82,22.3529411765,1.98349591766
28,ttc,27,26.7,1.65630109984
29,ttc,114,3.43203883495,2.22360302353
30,ttc,66,29.4142857143,1.06224636829
31,ttc,33,19.5319148936,0.647452087434
32,ttc,139,10.9723076923,4.36797815197
33,ttc,29,13.967032967,7.86765607254
34,ttc,128,10.3356643357,4.76380690838
35,ttc,179,17.0454545455,3.90660597552
36,ttc,150,4.404,3.86067144419
37,ttc,144,13.2478873239,6.16171411936
38,ttc,72,9.78521126761,0.919081536567
39,ttc,141,15.5863013699,2.17490765469
40,ttc,27,12.1530612245,3.99579381099
41,ttc,115,8.26442307692,5.11100656708
42,ttc,126,17.0280701754,2.75029531977
43,ttc,109,14.0914285714,6.02591410629
44,ttc,38,9.67105263158,0.656709458604
45,ttc,137,11.8082191781,4.87053633863
46,ttc,111,16.6013986014,0.776759092171
47,ttc,116,14.0906862745,6.78262713862
48,ttc,67,28.8732394366,1.13744930195
49,ttc,32,29.4545454545,0.497929597732
50,ttc,44,17.2454545455,0.71587662264
51,ttc,120,23.293814433,0.72599940828
52,ttc,216,10.2653061224,5.32907125271
53,ttc,151,10.6950959488,8.65217459394
54,ttc,207,13.5596899225,3.90804218277
55,ttc,37,28.0,1.22474487139
56,ttc,76,29.7702702703,0.605097653439
57,ttc,86,17.3613861386,0.740012081388
59,ttc,110,56.75,0.433012701892
60,ttc,127,10.3414634146,3.16907683234
61,ttc,47,19.8947368421,0.469572800488
62,ttc,56,14.9101796407,1.12044873017
63,ttc,74,6.38194444444,3.94140507902
64,ttc,22,9.55681818182,0.837446803541
65,ttc,34,13.93,7.72690753148
66,ttc,69,16.7833333333,2.28831573191
67,ttc,81,16.5692307692,1.24820976339
68,ttc,139,18.3087885986,7.70782640202
69,ttc,59,20.9722222222,1.24319133337
70,ttc,87,18.6983240223,1.63363647756
71,ttc,66,23.6016949153,1.08252553505
72,ttc,71,17.3362068966,1.22435039438
73,ttc,135,12.7112171838,7.89490293248
74,ttc,54,32.8214285714,11.5651989404
75,ttc,54,20.0731707317,0.260416542732
76,ttc,54,13.3855421687,7.05542827046
77,ttc,28,23.5909090909,0.806738152241
78,ttc,43,30.119047619,0.323844535922
79,ttc,99,23.3254901961,1.79540187617
80,ttc,78,21.4809160305,2.96377916639
81,ttc,46,10.1571428571,1.35894617034
82,ttc,25,20.0,0.0
83,ttc,33,30.0,0.0
84,ttc,186,6.9255952381,2.02009243729
85,ttc,196,10.8660550459,9.70587848151
86,ttc,137,6.74193548387,2.82900957556
87,ttc,67,9.92164179104,0.437745571216
88,ttc,83,39.8292682927,0.376274356599
89,ttc,89,9.35294117647,3.26011866386
90,ttc,28,7.92857142857,0.650745255653
91,ttc,130,22.9548387097,3.4925578675
92,ttc,21,12.0365853659,0.329268292683
93,ttc,34,23.6730769231,0.544947204435
94,ttc,49,12.747311828,0.79353454544
95,ttc,146,14.3041474654,5.27140196258
96,ttc,198,15.1765704584,6.0453347673
97,ttc,180,24.0193236715,4.4558612029
98,ttc,106,29.4745762712,1.21230879608
99,ttc,24,19.6666666667,0.623609564462
100,ttc,84,7.72916666667,3.40708041065
101,ttc,13,18.5517241379,1.75354236346
102,ttc,170,11.7990654206,8.68782578575
104,ttc,60,21.8846153846,0.524545449884
105,ttc,87,29.4,1.36695699587
106,ttc,59,9.88461538462,0.361824763889
107,ttc,195,57.4285714286,0.494871659305
108,ttc,81,17.4226415094,1.253920871
109,ttc,78,37.4193548387,3.26045903703
110,ttc,105,19.3236514523,1.50621835098
111,ttc,59,12.5619469027,1.18178046148
112,ttc,138,20.0714285714,0.53420422093
113,ttc,59,14.7597765363,0.959138320984
