tag,title,lat,lon,merged
1000,361 The West Mall,43.6407999,-79.5652399,1000
10000,Caledonia Rd At Leswyn Rd,43.71578495,-79.46763,9133|10000
10001,Kipling Ave At Jutland Rd North Side,43.62709995,-79.52915494999999,10001|714
10002,Bloor St West At Indian Rd,43.6553599,-79.45694,8325|10002
10003,Jane St At Ups Parking Lot (North Of Steeles),43.77832,-79.52057,10003
10004,Islington Ave At Elmhurst Dr South Side,43.722953675,-79.558825,6521|4278|3719|10004
10005,Markham Rd At Scranton Rd,43.7650799,-79.2272399,10005
10006,Chesswood Dr At Champagne Dr,43.764275,-79.47655499999999,10006|7248
10007,Royal York Rd At King Georges Rd,43.6500899,-79.5125499,10007|7389
10008,Sheppard Ave East At Washburn Way,43.79625,-79.2270949,3444|10008
10009,Eglinton Ave West At Northcliffe Blvd,43.6961599,-79.44778,10009
1001,Royal York Rd At Bloor St West,43.647131187499994,-79.5113249875,3333|6744|4163|1001
10010,York Mills Rd At Harrison Rd,43.749744899999996,-79.37878,10010|7488
10011,Concorde Pl At Concorde Pl Cul De Sac,43.7300499,-79.32829,10011_IB|10011
10012,Huntingwood Dr At Pharmacy Ave,43.7816924375,-79.320047425,10012|7376|7401|3921
10013,Sherbourne St At King St East,43.6512462375,-79.36818245,5942|8338|10013|1962
10014,Bathurst St At Wellington St West,43.6425799,-79.4020499,10014
10015,Weston Rd At Langstaff Rd,43.8082099,-79.5521099,10015
10018,Calvington Dr At Dalsby Rd,43.7294949,-79.50165,2998|10018
10019,Gerrard St East At Logan Ave,43.66708495,-79.34519995,8985|10019
1002,Sheppard Ave East At Kingston Rd North Side,43.79937495,-79.14685995,1002|9830
10020,Lawrence Ave East At Galloway Rd,43.7661449,-79.19645,10020|6111
10021,Bloor St West At Clendenan Ave,43.652499899999995,-79.46997,10021|1144
10022,Islington Ave At Titan Rd,43.630865,-79.517725,8641|10022
10023,135 La Rose Ave,43.6850699,-79.52308,10023
10024,Senlac Rd At Finch Ave West South Side,43.77625995,-79.43024495,10024|629
10025,Islington Ave At Cordova Ave North Side,43.64876,-79.52509,10025
10026,Islington Ave At Deerfoot Rd,43.6849449,-79.5412299,6759|10026
10027,250 Finchdene Sq,43.821094925,-79.234624975,10027|2674_IB|2674
10028,Wineva Ave At Queen St East,43.67106745,-79.29575994999999,4425|10028|10076|10028_ar
1003,Royal York Rd At Melrose St,43.619859899999994,-79.49989495,1003|9022
10030,Eastern Ave At Knox Ave,43.6624299,-79.32536,10030
10031,Yonge Blvd At Felbrigg Ave,43.7366449,-79.4099499,10031|2064
10032,Clark Ave West At York Hill Blvd,43.8041599,-79.44469,10032
10033,College St At Brock Ave,43.6518099,-79.436335,1690|10033
10034,Kipling Ave At Beaverbrook Ave,43.66232495,-79.544275,6131|10034
10035,Mortimer Ave At Greenwood Ave,43.68863,-79.3354899,10035|6552
10036,Birchmount Rd At Exford Dr,43.75499995,-79.28789995,10036|6832
10037,Bloor St West At Forestview Rd East Side,43.632864999999995,-79.57310995,1441|10037
10038,Middlefield Rd Loop At Steeles Ave East,43.8350899,-79.26829,10038|10038_ar
10039,Keele St At Jardin Dr North Side,43.796254950000005,-79.49838489999999,10039|7432
1004,125 Milner Ave,43.7852999,-79.24611,1004
10040,Roselawn Ave At Bathurst St,43.705238725,-79.4261449375,5624|384|10040|3099
10041,Staines Rd At Mantis Rd,43.82154,-79.2202899,10041_IB|10041
10042,Scarlett Rd At Dixon Rd East Side,43.70117995,-79.52776994999999,5929|10042
10043,Jane St At Haney Ave,43.673974900000005,-79.4947299,10043|6361
10044,Warden Ave At Burn Hill Rd,43.7004249,-79.2761599,10044|6848
10045,Calvington Dr At Roding St,43.7314399,-79.49306999999999,9173|10045
10046,Queens Plate Dr (West) At Triple Crown Ave West Side,43.72268,-79.6026099,10046
10047,Wilson Ave At Lady York Ave,43.7311599,-79.464405,10047|894
