from,to,routes
266,7773,112
289,4617,125
290,8515,125
311,8890,116
317,4194,116
322,1933,116
348,5039,116
358,8428,121
359,5481,123
370,5035,118
394,8328,124
432,9654,120
433,14228,113
477,15260,123
510,15475,112
511,510,112
528,3944,131
529,7344,131
530,2163,131
542,6397,123
542,9589,123
564,8204,129|130
566,8492,129
567,566,129
568,5732,129
576,1076,116
579,9145,131
580,2100,131
601,9344,127
602,5382,127
641,15336,121
695,7341,129
703,2428,130
715,1933,116
717,14077,119
719,4273,116
729,2369,121
744,7844,129
753,8994,123
766,788,123
771,6066,130
772,4524,112
788,5343,123
791,14088,116
792,4863,116
799,10255,127
838,3670,117
852,12890,124
857,14182,117
858,14318,117
881,7093,123
892,10109,120
893,5357,119|118
894,5935,119|118
895,8737,120|119|118
900,14212,125
920,1767,115|122
931,5696,121
941,14955,119|118
944,1509,115|122
957,1205,118
967,9596,122
992,900,125
993,9314,112
1000,6405,112
1004,2354,132
1006,5647,129
1011,15393,130
1032,8017,127
1037,8498,112
1041,3090,118
1044,3918,123
1046,4458,116
1051,8011,131
1055,4776,122
1056,3722,112
1064,5659,116
1076,9496,116
1082,5609,130|129|131
1084,5874,112
1096,4905,115|122
1097,6508,131
1116,1458,120
1146,5085,131
1160,892,120
1161,9567,132
1187,5488,113
1188,9357,118
1192,9316,125
1205,9692,118
1210,9153,121
1224,1444,127
1238,695,129
1238,2946,130
1244,4946,131
1249,3074,126
1254,2138,116
1255,4295,120
1264,8922,112
1279,2079,125
1281,8596,116
1286,1249,126
1309,6425,120
1321,7164,113
1326,5358,130
1328,5656,132
1340,7632,111
1356,8815,115|122
1357,3150,113
1421,3590,122
1437,6270,116
1438,9401,115
1444,4980,127
1452,9097,112
1458,1255,120
1471,10333,116
1475,9583,116
1501,8432,119
1506,9726,132
1509,9959,115|122
1521,4480,122
1522,1844,112
1524,7488,115|122
1537,9020,131
1539,7619,129
1547,1082,131
1571,6720,129
1573,8536,111
1577,6576,127
1582,5642,127
1588,6598,131
1591,1734,123
1603,1279,125
1607,8509,116
1608,1999,120
1613,2476,112
1645,1876,113
1674,7428,119
1688,7436,111
1689,8793,116
1692,4965,116
1697,1852,115|122
1699,2922,126
1701,9145,116
1708,6379,122
1717,3640,117
1721,6681,131
1734,6064,123
1738,9074,129
1740,2821,126
1748,6009,120
1763,6226,116
1765,5043,127
1767,1096,115|122
1780,7596,113
1805,15269,125
1806,3506,123
1812,2889,111
1814,6643,132
1815,6911,115
1817,5343,112|111
1822,1765,127
1825,7448,111
1828,8589,113
1842,4181,125
1844,7637,112
1851,14294,127
1852,9572,115|122
1855,7523,129
1860,7253,112
1872,2196,112
1876,1780,113
1892,7371,129
1896,8139,118
1930,6005,118
1933,10176,116
1936,4555,118
1955,4545,121
1963,7340,129
1971,2416,113
1982,1244,131
1993,6248,129
1996,6703,124
1999,10018,120
2003,2590,130
2003,3619,130
2008,5757,116
2012,4522,116
2014,1817,112|111
2023,3992,132
2025,920,115|122
2028,7877,127
2029,15681,112
2034,1281,116
2038,14810,118
2047,8692,124
2079,992,125
2100,2131,116|131
2118,7339,130
2131,5472,131
2131,8616,116
2137,7025,125
2138,2858,116
2147,3900,131
2149,5424,112
2163,5302,131
2165,6404,124
2196,7237,112
2199,7889,118
2201,511,112
2218,9405,130
2245,7491,113
2254,3345,116
2255,1697,115|122
2272,7532,113
2286,7888,132
2286,9413,131|129|130
2289,1082,129|130
2305,5035,118
2309,4882,116
2313,14687,118
2318,7859,130
2323,9885,131
2327,14813,112
2330,7656,122
2354,10094,132
2358,7625,111
2362,6121,129
2363,6366,132
2366,1004,132
2367,2023,132
2369,1955,121
2386,1055,122
2393,6023,132
2408,4118,127
2416,2245,113
2418,967,122
2422,9955,120
2428,8525,130
2440,7941,116
2442,2289,129|130
2443,4660,115
2447,8986,116
2453,8322,125
2458,8004,120|119|118
2463,317,116
2466,9372,129
2474,2978,119|118
2475,1674,119
2476,2996,112
2503,6908,132
2504,4874,122
2507,4101,115
2527,2760,123
2540,6471,127
2541,2286,130|129|132|131
2552,5843,116
2561,1815,115
2564,2665,132
2590,771,130
2593,4892,116
2598,7391,124
2626,7421,127
2634,8092,123
2637,3084,129
2639,6068,129
2643,4382,123
2644,4933,112
2664,2564,132
2665,6959,132
2669,6010,111
2684,6513,113
2697,8603,120
2700,7487,131
2706,8703,111
2722,1522,112
2757,580,131
2760,3171,123
2771,941,119|118
2773,2503,132
2775,5867,117
2776,4944,132
2777,1116,120
2788,1097,131
2807,8169,117
2814,6905,132
2818,2814,132
2821,5545,126
2825,580,131
2835,5687,117
2839,5915,115
2858,2100,116
2865,5836,111
2868,838,117
2882,7079,122
2887,8674,124
2889,9336,111
2891,6068,130
2893,5397,130
2893,7233,130
2898,359,123
2907,2475,119
2909,8136,116
2922,1286,126
2933,14842,113
2946,5587,130
2965,3225,112|111
2965,5620,123
2978,9514,119|118
2985,3411,127
2996,9516,112
2998,2422,120
3011,5407,112
3036,9651,111
3042,4553,116
3045,6410,132
3052,10127,115|122
3074,8540,126
3082,4876,120
3083,6371,116
3084,4209,129
3086,2773,132
3090,2038,118
3096,3718,127
3106,4275,112
3123,7015,127
3150,1971,113
3154,8880,118
3171,4104,123
3219,3011,112
3225,10385,112|111
3237,3123,127
3247,3894,126
3272,6189,118
3276,5644,117
3345,8862,116
3373,894,119|118
3373,3583,120
3393,2474,119|118
3407,9426,117
3411,799,127
3413,753,123
3417,7282,129
3453,8605,129
3457,10109,119|118
3476,564,129|130
3490,4583,116
3502,6722,117
3506,7394,123
3509,15474,129
3551,7585,116
3558,7266,113
3570,6788,132
3583,6242,120
3590,4192,122
3602,6590,123
3612,6253,113
3619,9766,130
3623,6778,131
3629,4220,120
3640,6029,117
3643,1160,120
3645,6492,111
3653,8856,113
3670,3502,117
3679,10142,116
3686,10129,112|123|111
3709,8834,112
3718,9468,127
3722,3812,112
3737,3154,118
3737,6511,118
3742,9257,112
3791,9901,122
3803,9099,117
3812,3853,112
3821,6236,131
3824,9487,130
3837,3737,118
3845,9000,130
3850,6349,117
3853,5730,112
3854,14235,111
3854,14236,112
3854,14237,123
3857,2893,130
3865,2637,129
3894,4518,126
3900,1721,131
3904,5485,111
3907,5617,120
3913,432,120
3913,893,119|118
3918,6064,123
3944,530,131
3944,10050,132
3947,6670,132
3960,1321,113
3965,1645,113
3992,2818,132
4020,3602,123
4040,7136,112
4067,4607,113
4101,2561,115
4104,6377,123
4108,3082,120
4115,3052,115|122
4118,6708,127
4123,4020,123
4152,8645,118
4156,4302,111
4181,1192,125
4190,4977,112
4192,4239,122
4194,8550,116
4198,1521,122
4209,5849,129
4220,4398,120
4224,3453,129
4238,944,115
4239,9010,122
4240,2825,131
4244,1524,115|122
4249,6355,115
4267,5809,118
4269,717,119
4273,5081,116
4275,1860,112
4277,5761,118
