tag,title,lat,lon
266,Disco Rd At Attwell Dr,43.7013299,-79.59478
289,Drewry Ave At Gardenia Crt,43.7838899,-79.43172
290,Drewry Ave At Grantbrook St,43.78357,-79.4335999
311,2495 Eglinton Ave East At South Service Rd (East),43.73404,-79.2597999
317,Eglinton Ave East At Brimley Rd West Side,43.7366499,-79.24876
320,Eglinton Ave East At Kennedy Station,43.7322899,-79.26712
322,Eglinton Ave East At Markham Rd West Side,43.7431399,-79.2196
348,Ellesmere Rd At Mirrow Crt,43.7872699,-79.18517
358,The Esplanade At Lower Jarvis St East Side,43.64827,-79.3704799
359,Evans Ave At Browns Line,43.61078,-79.5489899
370,Albion Rd At Elmhurst Dr,43.72505,-79.5503
394,Bayview Ave At Vallyanna Dr,43.7242,-79.37944
432,Wilson Ave At Keele St North Side,43.7272899,-79.482
433,Kennedy Rd At Eglinton Ave East,43.7319099,-79.2676699
477,Long Branch Loop,43.5921199,-79.54368
510,Renforth Dr At Eglinton Ave West,43.66609,-79.58727
511,Renforth Dr At Eglinton Ave West,43.6657399,-79.5862999
512,Michael Power / St Joseph H.s.,43.6594999,-79.58299
528,Sewells Rd At Brenyon Way East Side,43.80797,-79.21504
529,Sewells Rd At Brenyon Way,43.8079,-79.2154899
530,Sewells Rd At McLevin Ave,43.8102899,-79.21381
540,Sherway Gardens Rd At Sherway Gate (Mall),43.6097799,-79.55823
542,Sherway Gardens Rd At Sherway Gate (Mall),43.6098099,-79.55801
564,2061 McCowan Rd,43.7954099,-79.2611099
566,McCowan Rd At Elson St,43.83494,-79.27607
567,McCowan Rd At Steeles Ave East North Side,43.8317699,-79.27524
568,McCowan Ave At Steeles Ave East South Side,43.8303299,-79.27514
576,Military Trail At Morningside Ave,43.78902,-79.19326
579,Morningside Ave At Casebridge Crt North Side,43.8092499,-79.20274
580,Morningside Ave At John Stoner Dr South Side,43.8130399,-79.20598
601,Old Weston Rd At St Clair Ave West,43.6732499,-79.4628699
602,Old Weston Rd At St Clair Ave West,43.67363,-79.46312
641,Front St West At Bay St East Side (Union Station),43.6460299,-79.37853
695,McCowan Rd At Kenhatch Blvd,43.80133,-79.2636
702,McCowan Rd Loop At Steeles Ave East,43.8323499,-79.27538
703,Maybrook Dr At Newmill Gate,43.8254499,-79.2612399
715,Eglinton Ave East At Markham Rd,43.74336,-79.2185699
717,Oakdale Rd At Sheppard Ave West North Side,43.7375499,-79.52455
719,Guildwood Pkwy At Navarre Cres,43.74954,-79.1902799
729,The Esplanade At Princess St,43.64939,-79.3659399
744,McCowan Rd At Sandhurst Cir (North),43.81147,-79.26902
753,Shorncliffe Ave At North Queen St,43.62272,-79.54082
766,41 Shorncliffe Rd,43.6291599,-79.54322
771,Maybrook Dr At McNicoll Ave North Side,43.8220099,-79.25959
772,Gentian Dr At Wellesworth Dr,43.66529,-79.5817399
788,Shorncliffe Rd At Dundas St West,43.6319999,-79.5444499
