zipcode,lat,lon,population,land,density
601,18.165273,-66.722583,0,166.6605549,0
602,18.393103,-67.180953,0,79.28730601,0
603,18.455913,-67.14578,0,81.88506409,0
606,18.172947,-66.944111,0,109.5798069,0
610,18.288685,-67.139696,0,93.02201296,0
612,18.450674,-66.698262,0,175.0961462,0
616,18.444792,-66.640678,0,29.86256291,0
617,18.447092,-66.544255,0,39.34709937,0
622,17.998531,-67.187318,0,75.08116532,0
623,18.062201,-67.149541,0,98.35738847,0
624,18.023535,-66.726156,0,111.7942468,0
627,18.477891,-66.85477,0,120.0588988,0
631,18.269187,-66.864993,0,10.41434219,0
637,18.087322,-66.934911,0,89.22509039,0
638,18.33616,-66.472087,0,171.0557647,0
641,18.250027,-66.698957,0,242.2441779,0
646,18.43606,-66.281954,0,53.61275388,0
647,17.969594,-66.939754,0,39.38076921,0
650,18.360125,-66.562311,0,79.05161709,0
652,18.457254,-66.603358,0,17.91494776,0
653,17.972468,-66.898661,0,39.47659877,0
656,18.02328,-66.786909,0,83.95446459,0
659,18.481391,-66.808696,0,108.2122932,0
660,18.145486,-67.135323,0,29.36010521,0
662,18.480285,-67.028155,0,114.9125925,0
664,18.217606,-66.598306,0,117.8988488,0
667,18.015099,-67.055973,0,156.2151329,0
669,18.295952,-66.881925,0,159.4189481,0
670,18.252135,-66.990967,0,118.0257582,0
674,18.44553,-66.490268,0,116.4018356,0
676,18.383727,-67.080799,0,130.6312303,0
677,18.335781,-67.252547,0,37.13783951,0
678,18.45303,-66.933689,0,68.27467657,0
680,18.219023,-67.508068,0,166.2953666,0
682,18.219023,-67.508068,0,37.28805882,0
683,18.113284,-67.039706,0,135.1870194,0
685,18.3236,-66.972227,0,200.8069581,0
687,18.316976,-66.415207,0,100.6754278,0
688,18.429675,-66.674506,0,82.40306171,0
690,18.476196,-67.139597,0,7.29081653,0
692,18.435818,-66.338523,0,69.30808182,0
693,18.443109,-66.398302,0,101.8357425,0
694,18.443109,-66.398302,0,2.043500619,0
698,18.06104,-66.861164,0,180.3097922,0
703,18.250398,-66.12845,0,76.85530718,0
704,17.99229,-66.139253,0,12.62878202,0
705,18.128092,-66.268717,0,82.74753013,0
707,18.007014,-65.898719,0,54.56068953,0
714,17.96751,-66.04138,0,37.86044619,0
715,18.011854,-66.563721,0,20.38061644,0
716,18.001995,-66.607429,0,22.17029822,0
717,18.001995,-66.607429,0,5.444155007,0
718,18.22139,-65.77831,0,117.1710621,0
719,18.298017,-66.229751,0,72.52743704,0
720,18.226862,-66.39402,0,154.3684713,0
723,18.009994,-66.010572,0,119.5538512,0
725,18.212965,-66.058033,0,109.3777879,0
727,18.212965,-66.058033,0,55.6562545,0
728,18.001995,-66.607429,0,40.52554396,0
729,18.333093,-65.883864,0,87.9585862,0
730,18.001995,-66.607429,0,16.87377254,0
731,18.03831,-66.626344,0,123.3378238,0
735,18.264872,-65.594769,0,60.37003286,0
736,18.102967,-66.139274,0,142.7005749,0
738,18.359381,-65.611361,0,76.29327976,0
739,18.181469,-66.169519,0,81.79182451,0
740,18.331958,-65.63878,0,1.103334935,0
741,18.162156,-65.753485,0,6.120141904,0
745,18.367347,-65.816583,0,133.6770563,0
751,17.99852,-66.264825,0,121.6465616,0
754,18.187584,-65.962389,0,132.1645033,0
757,17.991233,-66.395543,0,77.26711529,0
765,18.123347,-65.460356,0,49.31078363,0
766,18.120519,-66.496607,0,103.7005339,0
767,18.045522,-65.886988,0,143.5008812,0
769,18.095992,-66.35081,0,198.1703502,0
771,18.196576,-65.87197,0,87.59080789,0
772,18.447406,-65.899357,0,37.97699566,0
773,18.366027,-65.708138,0,62.96779093,0
775,18.323736,-65.296467,0,27.35286443,0
777,18.206489,-65.901774,0,68.84447395,0
778,18.259092,-65.974641,0,76.77760753,0
780,18.001995,-66.607429,0,52.05358103,0
782,18.224958,-66.219885,0,69.0076432,0
783,18.304369,-66.330525,0,108.3832324,0
784,17.99229,-66.139253,0,143.8764295,0
786,18.128092,-66.268717,0,0.665626944,0
791,18.138029,-65.788499,0,95.72337056,0
794,18.200898,-66.307236,0,91.41881032,0
795,17.997367,-66.493218,0,119.80508,0
801,18.322285,-64.963715,0,2.908556648,0
802,18.322285,-64.963715,0,71.63130116,0
820,17.734211,-64.734694,0,78.9842774,0
823,17.734211,-64.734694,0,1.035995244,0
824,17.734211,-64.734694,0,0.056979738,0
830,18.32816,-64.740737,0,50.00749043,0
831,18.32816,-64.740737,0,0.119139453,0
840,17.734211,-64.734694,0,48.63997671,0
841,17.734211,-64.734694,0,6.599289704,0
850,17.734211,-64.734694,0,60.05405431,0
851,17.734211,-64.734694,0,19.68390964,0
901,18.465901,-66.103568,0,2.533008372,0
906,18.410462,-66.060533,0,0.007769964,0
907,18.451647,-66.077003,0,3.131295625,0
909,18.443384,-66.068133,0,1.577302759,0
911,18.450828,-66.057859,0,1.23283434,0
912,18.444187,-66.059859,0,0.865056029,0
913,18.450735,-66.043352,0,0.833976171,0
915,18.437896,-66.048087,0,3.610443425,0
917,18.422018,-66.050602,0,3.359214579,0
918,18.419069,-66.062319,0,5.516674674,0
920,18.406808,-66.091885,0,7.334846328,0
921,18.390429,-66.066124,0,6.941168135,0
923,18.410775,-66.036708,0,5.283575744,0
924,18.396392,-66.01146,0,12.14445425,0
925,18.401055,-66.049773,0,1.157724685,0
926,18.369376,-66.062804,0,62.56634277,0
927,18.385174,-66.071959,0,6.803898765,0
934,18.34487,-66.166014,0,1.939901094,0
936,18.410462,-66.060533,0,0.416988086,0
949,18.431911,-66.199692,0,45.56566082,0
950,18.457761,-66.196503,0,6.205611512,0
951,18.457761,-66.196503,0,1.074845066,0
952,18.457761,-66.196503,0,3.203815292,0
953,18.356795,-66.25701,0,69.14491257,0
956,18.326702,-66.174176,0,68.56475524,0
957,18.366645,-66.183907,0,11.96574507,0
959,18.387058,-66.159044,0,16.61477373,0
960,18.34487,-66.166014,0,2.408688942,0
961,18.413195,-66.168651,0,13.35915867,0
962,18.437644,-66.140407,0,9.878214652,0
965,18.428784,-66.11539,0,1.709392153,0
966,18.396815,-66.114889,0,8.339761714,0
968,18.410462,-66.060533,0,1.186214554,0
969,18.362322,-66.113729,0,12.64691194,0
971,18.30942,-66.113606,0,41.33362025,0
976,18.338133,-65.989229,0,43.35640096,0
979,18.410462,-66.060533,0,4.040381452,0
982,18.410462,-66.060533,0,3.677783116,0
983,18.413452,-65.977659,0,8.961358861,0
985,18.345741,-65.93888,0,21.08250322,0
987,18.373466,-65.959932,0,64.27314494,0
1001,42.140549,-72.788661,16769,29.63464395,565.8579879
1002,42.367092,-72.464571,29049,142.5607155,203.7658123
1003,42.369562,-72.63599,10372,1.841481546,5632.421363
1005,42.32916,-72.139465,5079,114.586254,44.32468838
1007,42.280267,-72.402056,14649,136.3447441,107.4408852
1008,42.177833,-72.958359,1263,139.3310004,9.06474508
1009,42.206092,-72.340486,741,2.064220524,358.9732742
1010,42.108585,-72.20448,3609,89.98395691,40.10714936
1011,42.294259,-72.952776,1370,81.88506409,16.73076788
1012,42.392274,-72.825607,661,33.97805402,19.45373327
1013,42.161492,-72.667341,23188,14.56609313,1591.916226
1020,42.177492,-72.562563,29668,32.29715173,918.5949351
1022,42.193392,-72.55436,2451,12.33093339,198.768408
1026,42.428617,-72.909841,946,62.17007459,15.21632403
1027,42.368303,-72.768839,17660,104.8971084,168.355451
1028,42.062009,-72.49874,15720,33.68538536,466.6712235
1029,42.190904,-73.051661,789,41.04613157,19.2222743
1030,42.189335,-72.79774,11669,30.7353889,379.6600732
1031,42.352554,-72.205724,1308,20.95818379,62.40998807
1032,42.443837,-72.819446,570,30.48157007,18.69982415
1033,42.262285,-72.504086,6227,72.06900915,86.40329697
1034,42.112748,-72.952003,2021,185.4353787,10.8986754
1035,42.356804,-72.576613,5250,59.79246551,87.80370496
1036,42.067614,-72.417507,5109,50.53843799,101.0913713
1037,42.347856,-72.225251,838,36.54732222,22.92917645
1038,42.387269,-72.643081,2545,25.89470112,98.28265589
1039,42.35641,-72.682127,1336,34.20597297,39.05750616
1040,42.198291,-72.64207,39880,55.11753697,723.5446682
1050,42.313427,-72.903677,2530,99.27165427,25.48562345
1053,42.353838,-72.704385,1685,13.28922899,126.7944138
1054,42.474681,-72.467543,1851,59.06985882,31.33577829
1056,42.173276,-72.627038,21103,70.46062653,299.5006011
1057,42.095323,-72.282063,8534,116.311186,73.37213462
1060,42.415154,-72.76927,15284,28.28267016,540.4015927
1062,42.328838,-72.845227,11150,47.01864415,237.1399729
1063,42.317939,-72.640234,430,0.101009536,4257.0238
1066,42.406697,-72.633901,64,1.838891558,34.80357486
1068,42.346144,-72.058847,1902,53.92355245,35.27215685
1069,42.176131,-72.31457,8469,72.68801631,116.5116402
1070,42.448984,-72.958397,629,53.20094577,11.82309808
1071,42.177432,-72.864558,1596,40.34942477,39.55446724
1072,42.471562,-72.44017,1478,52.02250118,28.41078315
1073,42.230008,-72.728463,5792,72.91334527,79.43676124
1074,42.375998,-72.149388,319,0.220148989,1449.018689
1075,42.24984,-72.58152,17527,45.88940933,381.9399782
1077,42.066644,-72.541205,9502,79.82602354,119.0338636
1079,42.192892,-72.329574,692,2.921506588,236.8640902
1080,42.179805,-72.517813,2334,4.472909466,521.8080128
1081,42.061948,-72.213598,1698,37.54705763,45.22325069
1082,42.377471,-72.548549,10322,119.4114018,86.44065678
1083,42.204027,-72.199439,2888,40.87001238,70.66305665
1084,42.390303,-72.870857,176,23.82012065,7.388711527
1085,42.14869,-72.501887,41117,155.093668,265.1107587
1086,42.173428,-72.847964,687,0.09582956,7168.977918
1088,42.390583,-72.646894,670,13.46793817,49.74777813
1089,42.125793,-72.645334,28391,43.28647128,655.8862194
1092,42.202887,-72.229025,1394,17.3606903,80.29634627
1093,42.442673,-72.652511,325,13.06390003,24.8777164
1094,42.358201,-72.140846,351,2.942226493,119.2974099
1095,42.125974,-72.489988,14319,58.56999112,244.4767316
1096,42.413069,-72.821653,2217,82.05859329,27.01728011
1097,42.161743,-72.845912,111,4.42628968,25.07743687
1098,42.40494,-72.896133,1101,81.20130722,13.55889502
1103,42.103044,-72.590783,2479,1.191394531,2080.754894
1104,42.128605,-72.567966,22865,13.50937798,1692.527963
1105,42.099793,-72.577732,12350,3.219355221,3836.171889
1106,42.049194,-72.567882,16021,24.08947941,665.0621098
1107,42.126237,-72.586733,11611,3.903112082,2974.805682
1108,42.080594,-72.558081,26688,9.642525734,2767.739567
1109,42.119293,-72.548981,30250,14.09471529,2146.194468
1118,42.093894,-72.523227,14071,9.311007255,1511.222107
1119,42.124943,-72.526705,14152,9.194457791,1539.188098
1128,42.094616,-72.487229,2631,2.893016719,909.4313154
1129,42.124485,-72.489479,7019,8.868119289,791.4868724
1151,42.150593,-72.51278,8698,6.133091844,1418.208013
1199,42.119943,-72.604983,0,0.028489869,0
1201,42.479475,-73.24807,46504,137.0569908,339.3041079
1220,42.385595,-73.172166,8603,63.70334755,135.047848
1222,42.185969,-73.318695,829,8.56509068,96.78823389
1223,42.3418,-73.103468,2314,180.6542607,12.80899765
1224,42.3929,-73.228483,182,0.720016695,252.7719168
1225,42.482125,-73.127483,3117,65.02424149,47.93596863
